"","Cutting Faliure","2023.11.06","1","4","","","","","1"
"","Flash Flood","2023.11.07","6","26","","","","","6"
"","Cutting Faliure","2023.11.07","2","7","","","","","2"
"Mawanella","","","","","","","","",""
"","Flash Flood","2023.11.07","1","4","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","",""
"","Cutting Faliure","2023.11.07","1","6","","","","","1"
"rg;ufKt","","","","","","","","",""
"","Tree Fallen","2023.11.07","9","30","","","","","9"
"Sabaragamuwa","","","","","","","","",""
"","Tree Fallen","2023.11.08","3","12","","","","","3"
"","Cutting Faliure","2023.11.08","4","17","","","","","4"
"","High Wind","2023.11.08","1","5","","","","","1"
"Warakapola","","","","","","","","",""
"","Cutting Faliure","2023.11.08","1","4","","","","","1"
"","High Wind","2023.11.08","2","10","","","","","2"
"","Wall collapse","2023.11.08","1","3","","","","","1"
"කෑගල්ල","","","","","","","","",""
"","Lightning","2023.11.07","1","5","","","","","1"
"9
Galigamuwa
Nffhiy","","","","","","","","",""
"","Heavy rain","2023.11.07","3","13","","","","","3"
"Kegalle","","","","","","","","",""
"","Cutting Faliure","2023.11.07","3","12","","","","","3"
"","Cutting Faliure","2023.11.07","4","17","","","","","1"
"Yatiyanthota","","","","","","","","",""
"","Tree Fallen","2023.11.07","2","9","","","","","2"
"","Wall collapse","2023.11.07","1","1","","","","","1"
"","High Wind","2023.11.07","2","8","","","","","2"
"","Lightning","2023.11.07","2","6","","","","","2"
"Aranayake","","","","","","","","",""
"","Tree Fallen","2023.11.07","15","64","","","","","16"
"","Rock Fallen","2023.11.07","1","6","","","","","1"
"Rambukkana","High Wind","2023.11.08","1","4","","","","","1"
"Bulathkohupitiya","Lightning","2023.11.06","4","18","","","","","4"
"","Tree Fallen","2023.11.07","2","6","","","","","2"
"Kegalle","","","","","","","","",""
"","Cutting Faliure","2023.11.07","2","6","","","","","2"
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","75","303","0","0","0","0","72"
