"Lightning","2019.09.23","2","7","","","","","2","","","","",""
"Yatiyantota","","","","","","","","","","","","",""
"ක්ගල්඼","","","","","","","","","","","","",""
"","2019.09.24","2","10","","","","","1","","","","",""
"8
Heavy Rain
Nffhiy","","","","","","","","","","","","",""
"සබරගමුල ප඼෈ත","","","","","","","","","","","","",""
"Kegalle","2019.09.23","2","9","","","","","2","","","","",""
"Kegalle","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","",""
"Dehiovita
High wind","2019.09.23","1","4","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","",""
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","7","30","0","0","0","0","5","0","0","0","0","0"
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","7","30","0","0","0","0","5","0","0","0","0","0"
"ලව්නිය෈ල  tTdpah","","","","","","","","","","","","",""
"9
Vavuniya
Lightning","2019.09.22","1","2","","","","","1","","","","",""
"උතුරු ප඼෈ත       
Vavuniya","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","",""
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total
Northen","","1","2","0","0","0","0","1","0","0","0","0","0"
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","1","2","0","0","0","0","1","0","0","0","0","0"
"මුළු එකතුල   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","20817","80014","1","6","0","30","821","22","0","42","3696","14899"
"","","","","ර෈ජක෈රි භ෈ර නිළධ෈රි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
