"","Weather Forecast for Main Cities","","","","2024-08-11"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","26","90","60","Showers or thundershowers after 2.00p.m"
"Colombo","31","28","90","70","Showers or thundershowers"
"Galle","29","27","90","80","Showers or thundershowers"
"Jaffna","34","25","95","55","Showers or thundershowers are likely after 2.00p.m"
"Kandy","30","22","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","20","14","90","50","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","24","95","65","Showers or thundershowers at times"
"Trincomalee","35","25","90","60","Showers or thundershowers after 2.00p.m"
"Mannar","32","27","90","75","Showers or thundershowers are likely after 2.00p.m"
