"","Weather Forecast for Main Cities","","","","27-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","50","Several spells of showers"
"Batticaloa","30","26","85","70","Several spells of showers"
"Colombo","32","26","85","70","Showers or thundershowers are likely after 4.00p.m"
"Galle","33","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","32","24","70","65","A few showers"
"Kandy","31","22","90","55","Showers or thundershowers are likely after 4.00p.m"
"Nuwara-Eliya","22","13","90","55","Several spells of light showers"
"Ratnapura","34","22","95","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","32","25","85","65","Several spells of showers"
"Mannar","32","26","85","65","Mainly fair"
