"","","","","","","","","","Damages","Infrastructure","s","",""
"","","","","","","","","","","","","","01.  Gallalla Tamil Collage"
"","","","","","","","","","","","","","02."
"Lunugala","Landslide Risk","","","","","","","","","","2","19","69"
"","","","","","","","","","","","","","Vignashvaram Tamil"
"","","","","","","","","","","","","","Collage"
"","2019.12.02","25","102","","","","","6","","","","",""
"Badulla","Heavy Rain
2019.12.03","77","363","","","","","17","","","1","41","173 01. Wallur Tamil Collage"
"Ridimaliyadda","Tree Fallen
2019.12.03","8","24","","","","1","7","","","","",""
"Bandarawela","Heavy Rain
2019.12.03","37","131","","","","","37","","","","",""
"Soranathota","Heavy Rain
2019.12.03","8","44","","","","","8","","","","",""
"Kandaketiya","Heavy Rain
2019.12.03","3","14","","","","","3","","","","",""
"Haputhale","Landslide
2019.12.03","90","360","","","","","30","","","1","60","259 Dambethenna Tamill Co."
"බදුල්ල","","","","","","","","","","","","",""
"Haldunmulla
1
gJs;is","Heavy Rain
2019.12.04","6","24","","","","2","4","","","","",""
"Walimada
Badulla","Heavy Rain
2019.12.04","33","301","","","","1","32","","","","",""
"","","","","","","","","","","","","","Kohilegama Safety"
"Uvaparanagama","Heavy Rain
2019.12.03","54","226","","","","1","25","","","2","29","Centre/ Daluwatta Muslim 
118"
"","","","","","","","","","","","","","Palli"
"ඌව                
Ella","Heavy Rain
2019.12.03","41","152","","","","","32","","","1","9","33"
"Cth khfhzk;","","","","","","","","","","","","","01. Hopton Day care"
"Uva
Passara","Heavy Rain
2019.12.04","30","110","","","","","23","","","2","7","Centre n    02.Sarwodaya 
49"
"","","","","","","","","","","","","","Building"
"","","","","","","","","","","","","","Moragolla Tamil Cpllage/"
"","","","","","","","","","","","","","Moreitota Collage/"
"Haliela","Heavy Rain
2019.12.03","53","192","","","","","26","","","3","27","87"
"","","","","","","","","","","","","","Dikwellawatta Day care"
"","","","","","","","","","","","","","Center"
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","465","2043","0","0","0","5","250","0","0","12","192","788"
"Bibila","","9","27","","","","","8","","","","",""
"","Landslide","","","","","","","","","","1","20","Neelagiri Temple
54"
"Medagama","","11","27","","","","","8","","","","",""
"ම ානරාගල","","","","","","","","","","","","",""
"Siyambalanduwa","","10","42","","","","","10","","","","",""
"2
nkhdwhfiy","2019.11.30","","","","","","","","","","","",""
"Monaragala","","1","5","","","","","1","","","","",""
"Moneragala","Heavy Rain","","","","","","","","","","","",""
"Buttala","","1","4","","","","","1","","","","",""
