"Kandawalai","","4045","13121","","","","2","17","","","9","472","1528"
"Flood","","","","","","","","","","","","",""
"","","4236","13731","","","","4","118","","","8","738","2383"
"කිලිමනාච්චිය 
Karachchi","","","","","","","","","","","","",""
"8
fpspnehr;rp","2019.12.05
Tree Fallen","","","1","1","","","","","","","",""
"Killinochchi","","","","","","","","","","","","",""
"Pachchilaipallai","","319","917","","","","","","","","1","1","5 Vempodukerny Pre School"
"Flood","","","","","","","","","","","","",""
"Poonakary","","336","972","","","","","2","","","1","41","123 Nachchkudhy Muslim GTMS"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","8936","28741","1","1","0","6","137","0","0","19","1252","4039"
"Vavuniya North","","242","721","","","","","17","","","","",""
"වව්ියාව","","","","","","","","","","","","",""
"9
Flood
Vavuniya South
tTdpah","2019.12.05","2","3","","","","","2","","","","",""
"Vavuniya","","","","","","","","","","","","",""
"Vengalacheddi kulam","","159","596","","","","","89","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","403","1320","0","0","0","0","108","0","0","0","0","0"
"Velanai","2019.12.05","9","32","","","","","6","","","","",""
"Kayts","2019.12.06","62","251","","","","","","","","","",""
"Kareinagar","2019.12.06","22","77","","","","","2","","","","",""
"Jaffna","2019.12.06","119","446","","","","","6","","","","",""
"Nallur","2019.12.06","8","28","","","","","1","","","","",""
"Kopay","2019.12.06","73","264","","","","","6","","","","",""
"යාපනය","","","","","","","","","","","","",""
"Chankanai","2019.12.06","300","1012","","","","","5","","","","",""
"10
Flood
aho;g;ghzk;","","","","","","","","","","","","",""
"Sandilipay","2019.12.06","11","45","","","","","6","","","","",""
"Jaffna","","","","","","","","","","","","",""
"Uduvil","2019.12.06","44","164","","","","","1","","","2","43","158"
"Tellippallai","2019.12.06","198","646","","","","","","","","","",""
"Chavakachcheri","2019.12.05","289","894","","","","","110","","","","",""
"Karaveddy","2019.12.06","162","564","","","","","","","","","",""
"PointPedro","2019.12.06","295","1075","","","","","2","","","","",""
"Maruthankrny","2019.12.06","266","800","","","","","32","","","3","32","84"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total","","1858","6298","0","0","0","0","177","0","0","5","75","242"
