"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","4608","19585","0","0","0","2","12","2","0","1","6","28",""
"","්කොළඹ","","","","","","","","","","","","","",""
"","7
Kolonnawa
Cutting Failure
nfhOk;G","2022.10.14","5","18","","","","","","","","1","3","","11 Meethotamulla Navy Ground 
pavilion"
"","Colombo","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","5","18","0","0","0","0","0","0","0","1","3","11",""
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","4698","19940","0","0","0","2","59","8","0","2","9","39",""
"","","High wind & Heavy","","","","","","","","","","","","",""
"","Karuwalagaswewa
පුත්තලම","","29","93","","","","","29","1","","","","",""
"","Rain","","","","","","","","","","","","","",""
"වයඹ පලොත","8
Gj;jsk;","2022.10.13","","","","","","","","","","","","",""
"","Puttalam","","","","","","","","","","","","","",""
"tlNky;","Wennappuwa
Heavy rain","","1","2","","","","","1","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"North Western","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","30","95","0","0","0","0","30","1","0","0","0","0",""
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","30","95","0","0","0","0","30","1","0","0","0","0",""
"","","Heavy Rain & High","","","","","","","","","","","","",""
"","Eheliyagoda","2022.10.12","4","18","","","","","4","","","","","",""
"","wind","","","","","","","","","","","","","",""
"","Heavy Rain","2022.10.13","1","4","","","","","1","","","","","",""
"","Pelmadulla","","","","","","","","","","","","","",""
"","රත් පුර","","","","","","","","","","","","","",""
"","Cutting Failure","2022.10.13","1","3","","","","","1","","","","","",""
"","9
,uj;jpdGhp","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව    පලොත","Rathnapura","","","","","","","","","","","","","",""
"","","Heavy Rain & Wind
2022.10.12","1","3","","","","","1","","","","","",""
"rg;ufKt","Opanayake","","","","","","","","","","","","","",""
"Sabaragamuwa","Heavy Rain","2022.10.13","1","1","","","","","1","","","","","",""
"","Nivithigala","Heavy Rain & Wind
2022.10.14","1","6","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","9","35","0","0","0","0","9","0","0","0","0","0",""
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","9","35","0","0","0","0","9","0","0","0","0","0",""
"","Ganga Ihala Korale
Tree Fallen","2022.10.03","1","6","","","","","1","","","","","",""
"","නුවර                
Meda Dumbara
Rock Fallen","2022.10.03","1","2","","","","","1","","","","","",""
"","10
fz;b","","","","","","","","","","","","","",""
"මධ්‍යම පලොත","Akurana
Kandy","Heavy Rain & Wind
2022.10.13","1","5","","","","","1","","","","","",""
"kj;jpa","","","","","","","","","","","","","","",""
"khfhzk; Central","Harispaththu","Heavy Rain & Wind
2022.1014","1","5","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","4","18","0","0","0","0","4","0","0","0","0","0",""
