"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","95","65","Several spells of showers"
"Batticaloa","34","25","80","50","Mainly fair"
"Colombo","29","28","95","70","Showers at times"
"Galle","28","25","90","75","Showers at times"
"Jaffna","31","23","90","65","A few showers"
"Kandy","28","22","95","60","Showers at times"
"Nuwara-Eliya","18","15","95","65","Showers at times"
"Ratnapura","29","25","95","65","Showers at times"
"Trincomalee","34","27","80","50","Mainly fair"
"Mannar","31","28","90","75","A few showers"
