"","Weather Forecast for Main Cities","","","","9-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","22","90","60","Mainly fair"
"Batticaloa","29","23","90","70","Mainly fair"
"Colombo","32","23","85","60","Mainly fair"
"Galle","33","24","85","50","Mainly fair"
"Jaffna","30","24","90","65","Mainly fair"
"Kandy","31","19","90","50","Mainly fair"
"Nuwara-Eliya","21","14","60","30","Mainly fair"
"Ratnapura","32","21","90","60","Mainly fair"
"Trincomalee","30","25","80","65","Mainly fair"
"Mannar","31","24","80","65","Mainly fair"
