"","","","","","","","","Fully","Partiall","Small, Medium,","","Damages to","","of Safety","",""
"","","","","","","","People","","","","","","","","Families",""
"","","","","","","","","","y","Enterprises","","critical","","Location","",""
"","","","","","","","","","","Damages","","Infrastructure","","s","",""
"රත්නපුර","","","","","","","","","","","","","","","",""
"1
,uj;jpdGhp","Imbulpe
Drought","2019.06.12","723","2749","","","","","","","","","","","",""
"සබරගමුල ප඼෈ත","","","","","","","","","","","","","","","",""
"Rathnapura
rg;ufKt","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","723","2749","0","0","0","0","0","","0","","0","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","723","2749","0","0","0","0","0","","0","","0","0","0","0"
"","Arachchikattuwa","","1700","6035","","","","","","","","","","","",""
"","","2019.01.24","","","","","","","","","","","","","",""
"","Mundalama","","1932","6490","","","","","","","","","","","",""
"","Nawagaththegama","","448","1280","","","","","","","","","","","",""
"පුත්ත඼ම","Wanathavilluwa","","455","1572","","","","","","","","","","","",""
"2
Gj;jsk","Drought
Karuwalagaswewa","","2048","6023","","","","","","","","","","","",""
"","","2019.06.28","","","","","","","","","","","","","",""
"Puttalam","Mahakubukkadawala","","7352","22871","","","","","","","","","","","",""
"","Anamaduwa","","1058","3286","","","","","","","","","","","",""
"","Pallama","","1823","6173","","","","","","","","","","","",""
"","Halawatha","2019.01.24","111","430","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","16927","54160","0","0","0","0","0","","0","","0","0","0","0"
"","Ambanpola","2019.04.03","892","2639","","","","","","","","","","","",""
"","Galgamuwa","2019.04.11","655","2682","","","","","","","","","","","",""
"ලයඹ ප඼෈ත","Udubaddawa","2019.05.08","126","376","","","","","","","","","","","",""
"tlNky;","Kotawehera","2019.05","141","421","","","","","","","","","","","",""
"khfhzk;   North","","","","","","","","","","","","","","","",""
"","Polpithigama","2019.05 සිට","4671","14173","","","","","","","","","","","",""
"Western","","","","","","","","","","","","","","","",""
"","Kuliyapitiya - East","2019.05.15","1291","4865","","","","","","","","","","","",""
"කුරුණ්ග඼","Maaspotha","2019.04 සිට","334","1248","","","","","","","","","","","",""
"3
FUdhfy;","Drought
Weerabugedara","2019.06.14","404","1464","","","","","","","","","","","",""
"Kurunegala","Giribawa","2019.5.28","1732","4839","","","","","","","","","","","",""
"","Mawathagama","2019.05.15","200","680","","","","","","","","","","","",""
"","Ahetuwewa","2019.06.06","1313","3400","","","","","","","","","","","",""
"","Narammala","2019.06.04","145","1009","","","","","","","","","","","",""
"","Bingiriya","2019.07 සිට","1822","5715","","","","","","","","","","","",""
"","Panduwasnuwara West","2019.07.24","400","1550","","","","","","","","","","","",""
"","Bamunakotuwa","2019.07.29","140","435","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","14266","45496","0","0","0","0","0","","0","","0","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","31193","99656","0","0","0","0","0","","0","","0","0","0","0"
"ලව්නිය෈ල","Vavuniya North","2019.03.11","161","511","","","","","","","","","","","",""
"4
tTdpah","Drought
vengalacheddikulam","2019.07.22","343","1194","","","","","","","","","","","",""
"Vavuniya","Vavuniya","2019.07.08","255","873","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","759","2578","0","0","0","0","0","","0","","0","0","0","0"
"","Delft","2019.03.18","1031","3071","","","","","","","","","","","",""
"","Velanai","2019.03.21","2816","9683","","","","","","","","","","","",""
"","Kayts","","2422","7848","","","","","","","","","","","",""
"ය෈පනය","Karainagar","","2760","8297","","","","","","","","","","","",""
"5
aho;g;ghzk;","Drought
Maruthankarny","2019.03.18","1060","4630","","","","","","","","","","","",""
"Jaffna","Karaveddi","","336","1064","","","","","","","","","","","",""
"","Chavakachcheri","","3361","11484","","","","","","","","","","","",""
"","Chankanai","","6267","21206","","","","","","","","","","","",""
"","","2019.06.10","","","","","","","","","","","","","",""
"","Sandilipay","","1041","3345","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","21094","70628","0","0","0","0","0","","0","","0","0","0","0"
