"දිනය/කේලොව)","ස
්ථොනය","උපරිම සුළකේ කේගය (පැයට කි. මි.)","ැළඹිලි ස්වභොවය"
"(ශ්‍රී ලං ො පැය)","(උතුරු අක්ොංශ oN","",""
"","නැකගනහි","",""
"","කද්ශොංශ  oE)","",""
"01.12.23/2330","10.3/85.3","45-55, විටින් විට 65 දක්වා","පීඩන අවපාතයක්"
"02.12.23/1130","10.9/84.3","50-60, විටින් විට 70 දක්වා","ගැඹුරු පීඩන අවපාතයක්"
"02.12.23/2330","11.6/83.1","60-70, විටින් විට 80 දක්වා","සුළි කුණාටුවක්"
"03.12.23/1130","12.3/82.0","60-70, විටින් විට 80 දක්වා","සුළි කුණාටුවක්"
"03.12.23/2330","13.1/81.1","70-80, විටින් විට 90 දක්වා","සුළි කුණාටුවක්"
"04.12.23/1130","14.0/80.4","75-85, විටින් විට 95 දක්වා","සුළි කුණාටුවක්"
"04.12.23/2330","14.9/80.4","80-90, විටින් විට 100 දක්වා","සුළි කුණාටුවක්"
"05.12.23/1130","15.9/80.6","80-90, විටින් විට 100 දක්වා","සුළි කුණාටුවක්"
"05.12.23/2330","16.9/81.4","60-70, විටින් විට 80 දක්වා","සුළි කුණාටුවක්"
"06.12.23/1130","18.0/82.9","45-55, විටින් විට 65 දක්වා","පීඩන අවපාතයක්"
