"","Weather Forecast for Main Cities","","","","2024-07-27"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","50","Mainly fair"
"Batticaloa","36","27","80","50","Mainly fair"
"Colombo","31","27","85","70","Several spells of showers"
"Galle","29","25","85","75","Several spells of showers"
"Jaffna","33","28","80","65","Mainly fair"
"Kandy","29","23","85","65","Several spells of showers"
"Nuwara-Eliya","18","15","90","85","Showers at times"
"Ratnapura","32","24","95","65","Showers at times"
"Trincomalee","37","27","80","45","Mainly fair"
"Mannar","32","27","80","75","Mainly fair"
