"","ලමොනරාගල","","","","","","","","","","","","",""
"ඌව","5
Badalkumbura 
nkhdwhfiy","Cutting Failure
2018.11.26","8","32","","","","","","","","1","8","32 Dewathura Tamil"
"","","","","","","","","","","","","","","Collage"
"Cth","Moneragala","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","8","32","0","0","0","0","0","0","0","1","8","32"
"Uva","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","8","32","0","0","0","0","0","0","0","1","8","32"
"","හම්බන්ලතොට","","","","","","","","","","","","",""
"","","Cutting Failure","1","6","","1","","","1","","","","",""
"දකුනු පලාත","6
Katuwana
`k;ghe;Njhl;il","2018.11.25","","","","","","","","","","","",""
"njd;","Hambantota","Lightning","1","4","","","","","1","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","2","10","0","1","0","0","2","0","0","0","0","0"
"Southern","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","2","10","0","1","0","0","2","0","0","0","0","0"
"","","2018.11.22","2","4","","","","","1","","","","",""
"","Aranayaka","Heavy Rain","","","","","","","","","","","",""
"සබරගමුව","කෑගේල","2018.11.25","1","4","","","","","1","","","","",""
"","7","","","","","","","","","","","","",""
"පලාත","Nffhiy  Kegalle","","","","","","","","","","","","",""
"","Kegalle","Rock Fallen
2018.11.23","1","6","","","","","1","","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"","Mawanella","Rock Fallen
2018.11.26","1","2","","","","","1","","","","",""
"Sabaragam","","","","","","","","","","","","","",""
"uwa","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","5","16","0","0","0","0","4","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","5","16","0","0","0","0","4","0","0","0","0","0"
"උතුරුමැද","ලපොලලොන්නරුව","2018.11.17","2","5","","","","1","1","","","","",""
"","","Heavy Rain &","","","","","","","","","","","",""
"පලාත","8
Dimbulagala
nghyd;dWit","","","","","","","","","","","","",""
"","","Lightning","","","","","","","","","","","",""
"tlkj;jpa","Polonnaruwa","","","","","","","","","","","","",""
"","","2018.11.20","2","6","","","","1","1","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"North","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","4","11","0","0","0","2","2","0","0","0","0","0"
"Central","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","4","11","0","0","0","2","2","0","0","0","0","0"
"","ලකොළඹ   
Homagama","","6","28","","","","","6","","","","",""
"Western","9
nfhOk;G","High Wind
2018.11.25","","","","","","","","","","","",""
"Nky;","Padukka","","8","36","","","","","8","","","","",""
"","Colombo","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"බස්නාහිර","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","14","64","0","0","0","0","14","0","0","0","0","0"
"පලාත","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","14","64","0","0","0","0","14","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","476","1846","0","1","0","7","123","2","0","5","40","141"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
