"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","","දිනය : 2025-03-08"
"","උෂ්ණත්වය(සස. අංශක)","","","සාසේක්ෂ ආර්ද්‍රතාවය (%)",""
"නගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","22","90","50","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","30","23","90","70","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","31","24","85","70","ප්‍රධාන වශයයන් වැසි රහිත"
"ගාල්ල","30","25","90","75","ප්‍රධාන වශයයන් වැසි රහිත"
"යාපනය","33","22","95","55","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","32","15","90","40","ප්‍රධාන වශයයන් වැසි රහිත"
"නුවරඑළිය","21","9","70","40","ප්‍රධාන වශයයන් වැසි රහිත"
"රත්නපුරය","36","22","90","45","ප්‍රධාන වශයයන් වැසි රහිත"
"ත්‍රිකුණාමලය","31","22","95","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මන්නාරම","32","23","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
