"","Weather Forecast for Main Cities","","","Date :","25-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","55","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","25","95","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","95","75","Showers or thundershowers at times"
"Galle","31","25","85","75","Showers or thundershowers at times"
"Jaffna","34","28","85","65","Showers or thundershowers after 2.00p.m"
"Kandy","31","21","95","60","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","23","13","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","23","95","65","Showers or thundershowers at times"
"Trincomalee","35","24","90","55","Showers or thundershowers after 2.00p.m"
"Mannar","31","26","90","60","Showers or thundershowers are likely after 2.00p.m"
