"The forecast track and intensity of the system are given in the following table","","",""
"Date/Time","Position","Maximum wind speed","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","(Kmph)","disturbance"
"27.11.24/1200","8.9/82.1","55-65 gusting to 75","Deep Depression"
"27.11.24/1800","9.2/82.0","55-65 gusting to 75","Deep Depression"
"28.11.24/0000","9.6/82.0","60-70 gusting to 80","Cyclonic Storm"
"28.11.24/0600","10.4/81.8","60-70 gusting to 80","Cyclonic Storm"
"28.11.24/1800","11.0/81.5","65-75 gusting to 85","Cyclonic Storm"
"29.11.24/0600","11.5/81.0","65-75 gusting to 85","Cyclonic Storm"
"29.11.24/1800","11.9/80.6","60-70 gusting to 80","Cyclonic Storm"
"30.11.24/0600","12.1/80.1","50-60 gusting to 70","Deep Depression"
