"","","District","DS Division","","","Families","People","","","","","","","","","","s;","Persons"
"","","","","","","","","","People","","Fully","Partiall","","","Damages to","of Safety","",""
"","","","","","","","","","","","","","Small, Medium,","","","","",""
"","","","","","","","","","","People","","","","","","","Families",""
"","","","","","","","","","","","","y","","","critical","Location","",""
"","","","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","","","Damages","","Infrastructure","s","",""
"","","","","Heavy Rain","","1","5","","","","","1","","","","","",""
"","","","Ganga Ihala Korale","","2019.10.21","","","","","","","","","","","","",""
"","","","","Rock Fallen","","1","3","","","","","1","","","","","",""
"","","","","High Wind","","1","3","","","","","1","","","","","",""
"","","","Udapalatha","","2019.10.20","","","","","","","","","","","","",""
"","","","","Heavy Rain","","1","2","","","","","1","","","","","",""
"","","මහනුවර","","","","","","","","","","","","","","","",""
"","1","fz;b","Udunuwara","Heavy Rain","2019.10.21","1","4","","","","","1","","","","","",""
"","","Kandy","","Land Slide","2019.10.20","1","3","","","","","1","","","","","",""
"මධ්‍යම පලාත","","","Pujapitiya","Heavy Rain","2019.10.22","1","2","","1","","","1","","","","","",""
"kj;jpa khfhzk","","","","Cutting Failure","","","","","","","","","","1","","","",""
"Central","","","Harispaththuwa","Rock Fallen","2019.10.21","1","4","","","","","1","","","","","",""
"","","","","Lightning","","1","3","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","9","29","0","1","0","0","8","","1","0","0","0","0"
"","","නුවරඑලිය","","Flood","2019.10.09","","","","","","","","","","","","",""
"","2","Etnuypah","Ambagamuwa","","","","","","","","","","","","","","",""
"","","Nuwara Eliya","","Fire","2019.09.20","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","0","0","0","0","0","0","0","","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","9","29","0","1","0","0","8","","1","0","0","0","0"
"","","","","","","1","5","","","","","1","","","","","",""
"","","","Aranayake","Rain & Wind","2019.10.21","","","","","","","","","","","","",""
"","","","","","","1","4","","","","","","","","","","",""
"","","","Ruwanwella","Cutting Failure","2019.10.21","1","5","","","","","","","","","","",""
"","","","Dehiovita","Flood","2019.10.21","14","48","","","","","","","","","","",""
"","","කෑගල්ල","","Rock Fallen","","1","4","","","","","1","","","","","",""
"","3","Nffhiy","","Lightning","","5","16","","","","","5","","5","","","",""
"","","","","","2019.10.21","","","","","","","","","","","","",""
"","","Kegalle","Yatiyanthota","Tree Fallen","","2","7","","","","","2","","1","","","",""
"ස්ත්‍බරගමුව පලාත","","","","Cutting Failure","","2","9","","","","","2","","1","","","",""
"rg;ufKt","","","","Heavy Rain","2019.10.22","1","6","","","","","1","","","","","",""
"Sabaragamuwa","","","","Heavy Rain","","2","5","","","","1","1","","","","","",""
"","","","Kegalle","","2019.10.21","","","","","","","","","","","","",""
"","","","","Tree Fallen","","2","7","","","","","1","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","32","116","0","0","0","1","14","","7","0","0","0","0"
"","","රත්නපුර","","","","","","","","","","","","","","","",""
"","4",",uj;jpdGhp","Kalawana","Lightning","2019.10.21","2","7","","1","","","2","","","","","",""
"","","Rathnapura","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","2","7","0","1","0","0","2","","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","34","123","0","1","0","1","16","","7","0","0","0","0"
"","","බදුල්ල","","","","","","","","","","","","","","","",""
"","5","gJs;is","Badulla","Heavy Rain","2019.10.20","1","1","","","","","1","","","","","",""
"ඌව","","","","","","","","","","","","","","","","","",""
"","","Badulla","","","","","","","","","","","","","","","",""
"Cth khfhzk","","","","","","","","","","","","","","","","","",""
"Uva","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","1","1","0","0","0","0","1","","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","1","1","0","0","0","0","1","","0","0","0","0","0"
"","","පුත්තලම","","","","","","","","","","","","","","","",""
"","","","Wanathawilluwa","","","27","99","","","","","6","","","","","",""
"","6","Gj;jsk;","","Flash Flood","2019.10.21","","","","","","","","","","","","",""
"","","Puttalam","Anamaduwa","","","1","4","","","","","1","","","","","",""
