"","Weather Forecast for Main Cities","","","","18-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","35","Mainly fair"
"Batticaloa","33","24","90","65","Mainly fair"
"Colombo","32","25","85","60","Mainly fair"
"Galle","32","26","80","65","Mainly fair"
"Jaffna","35","24","85","65","Mainly fair"
"Kandy","34","22","90","40","Mainly fair"
"Nuwara-Eliya","23","11","90","35","Mainly fair"
"Ratnapura","35","25","90","40","Mainly fair"
"Trincomalee","34","24","90","55","Mainly fair"
"Mannar","34","24","95","60","Mainly fair"
