"","Weather Forecast for Main Cities","","","","2024-08-28"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","55","Mainly fair"
"Batticaloa","33","27","90","60","Mainly fair"
"Colombo","31","27","90","70","Several spells of light showers"
"Galle","30","27","90","70","Several spells of light showers"
"Jaffna","32","27","85","70","Mainly fair"
"Kandy","29","21","95","70","Mainly fair"
"Nuwara-Eliya","21","14","90","70","Mainly fair"
"Ratnapura","32","26","95","70","Several spells of light showers"
"Trincomalee","34","26","90","55","Mainly fair"
"Mannar","31","27","85","70","Mainly fair"
