"","ප්‍රධාන්‍  න්‍ ර සදහා කාලගුණ අන්‍ාවැකිය","","","දින්‍ය :     2024-08-28",""
"","","උ්තණත්වය(ගස. අංශ්‍ක)","","සාගප්ක්් ආර්රතාවය(%)",""
"න්‍ රය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","25","90","55","ප්‍රධාන වශහයන් වැසි රහිත"
"මඩකලපුව","33","27","90","60","ප්‍රධාන වශහයන් වැසි රහිත"
"හකාළඹ","31","27","90","70","සිහින් වැසි වාර කිහිපයක්"
"ගාල්ල","30","27","90","70","සිහින් වැසි වාර කිහිපයක්"
"යාපනය","32","27","85","70","ප්‍රධාන වශහයන් වැසි රහිත"
"ම නුවර","29","21","95","70","ප්‍රධාන වශහයන් වැසි රහිත"
"නුවරඑළිය","21","14","90","70","ප්‍රධාන වශහයන් වැසි රහිත"
"රත්නපුරය","32","26","95","70","සිහින් වැසි වාර කිහිපයක්"
"ිකුණාමලය","34","26","90","55","ප්‍රධාන වශහයන් වැසි රහිත"
"මන්නාරම","31","27","85","70","ප්‍රධාන වශහයන් වැසි රහිත"
