"","Administrative purview","","ghjpf;fg;gl;l    Affected","","","","","tPLfs; Houses","","","Other Damages","","","","miktplk; Safe Location",""
"","Haldumulla","","322","1171","","","","3","39","","1","","","4","173","571"
"","Badulla","","22","84","","","","","6","","","","","","",""
"","Haaliela","","10","44","","","","","10","","","","","","",""
"","Bandarawela","","30","108","","","","","22","","13","","","1","3","7"
"","Welimada","","2","11","","","","","2","","","","","","",""
"බදුල්ල","Ella","Land Slide Risk /","10","36","","","","","4","","","","","1","3","9"
"2
gJs;is","Passara","Cutting Faliure / 
2023.10.12 to 18","5","27","","","","","5","","","","","","",""
"Badulla","Heavy Rain
Meegahakiula","","1","4","","","","","1","","","","","","",""
"","Uwaparanagama","","2","8","","","","","2","","","","","","",""
"ඌව","","","","","","","","","","","","","","","",""
"","Rideemaliyedda","","3","11","","","","","3","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","","",""
"","Lunugala","","1","5","","","","","1","","","","","","",""
"Uva","","","","","","","","","","","","","","","",""
"","Haputale","","13","56","","","","","5","","","","","1","17","81"
"","Soranatota","","1","3","","","","","1","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","422","1568","0","0","0","3","101","","14","","0","7","196","668"
"ම ොනරොගල/nkhdw","","","","","","","","","","","","","","","",""
"3","Madulla
Heavy Rain","2023.10.22","1","6","","1","","","1","","","","","","",""
"hfiy Moneragala","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1","6","0","1","0","0","1","","0","","0","0","0","0"
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","423","1574","0","1","0","3","102","","14","","0","7","196","668"
"","Akuressa","","31","130","","","","11","29","","","","","","",""
"","Thihagoda","","193","725","","","","","37","","","","","","",""
"","Maalimboda","","15","66","","","","","13","","","","","","",""
"","Devinuwara","","176","694","","","","","53","","","","","1","4","21"
"","Weligama","","22","93","","","","","22","","","","","","",""
"","Kamburupitiya","","68","306","","","","","35","","","","","","",""
"","Athuraliya","","15","54","","","","","15","","","","","","",""
"ොතර","","","","","","","","","","","","","","","",""
"","Kirinda puhulwela","2023.09.28 to","41","156","","","","","41","","","","","","",""
"khj;jiw   
4","","Flood / Heavy Rain","","","","","","","","","","","","","",""
"","Pasgoda","2023.10.23","99","387","","","","","10","","","","","","",""
"Matara","","","","","","","","","","","","","","","",""
"","Hakmana","","72","275","","","","","72","","","","","","",""
"","Matara","","128","557","","","","8","119","","","","","","",""
"","Pitabeddara","","39","147","","","","","39","","","","","","",""
"","Mulatiyana","","39","162","","","","","11","","","","","","",""
"දකුනු පලොත","","","","","","","","","","","","","","","",""
"","Kotapola","","9","45","","","","","7","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","",""
"","Dikwella","","110","415","","","","","110","","","","","","",""
"Southern","","","","","","","","","","","","","","","",""
"","Welipitiya","","38","133","","","","2","30","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1095","4345","0","0","0","21","643","","0","","0","1","4","21"
