"","Weather Forecast for Main Cities","","","","11-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","90","55","Mainly fair"
"Batticaloa","30","25","85","75","Mainly fair"
"Colombo","31","23","85","60","Mainly fair"
"Galle","32","23","90","50","Mainly fair"
"Jaffna","30","24","90","65","Mainly fair"
"Kandy","30","18","90","50","Mainly fair"
"Nuwara-Eliya","21","13","90","40","Mainly fair"
"Ratnapura","33","20","90","50","Mainly fair"
"Trincomalee","30","25","80","60","Mainly fair"
"Mannar","31","24","85","65","Mainly fair"
