"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","33","24","90","65","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"මඩකලපුව","32","26","90","65",""
"","","","","","ැක"
"හකාළඹ","31","24","95","85","වැසි වාර කිහිපයක්"
"ගාල්ල","31","25","95","85","වැසි වාර කිහිපයක්"
"යාපනය","31","27","90","75","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ම නුවර","31","21","95","65","වැසි වාර කිහිපයක්"
"නුවරඑළිය","22","16","95","70","වැසි වාර කිහිපයක්"
"රත්නපුරය","34","23","95","80","වැසි වාර කිහිපයක්"
"","","","","","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
