"","Weather Forecast for Main Cities","","","Date :","2024-09-13"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","60","Mainly fair"
"Batticaloa","33","26","85","60","Showers or thundershowers after 2.00p.m"
"Colombo","30","25","95","75","Showers or thundershowers at times"
"Galle","30","24","90","80","Showers or thundershowers at times"
"Jaffna","34","28","85","70","Mainly fair"
"Kandy","29","22","95","75","Several spells of showers"
"Nuwara-Eliya","19","15","95","85","Showers or thundershowers at times"
"Ratnapura","31","23","95","75","Showers or thundershowers at times"
"Trincomalee","35","26","85","50","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","28","85","75","Mainly fair"
