"Arabian Sea",""
"W
eather:",""
"EQ - 05N, 60E-70E",":  Showers or thundershowers at most places."
"EQ - 15N, 70E-80E",":  Showers or thundershowers at several places."
"Other sea areas            :  Showers or thundershowers at a few places.",""
"W
inds:",""
"10N - 20N, 60E-75E",": South-westerly to Westerly / (40-50) kmph; gusting up to (60-70) kmph."
"05N-10N,75E-80E",": Westerly to South-westerly / (30-40) kmph; gusting up to (50-60) kmph."
"Other sea areas",": Variable / (25-35) kmph."
"S
tate of the Sea:",""
"10N - 20N, 60E-75E",": Fairly rough to rough; very rough at times."
"05N-10N,75E-80E",": Fairly rough; rough at times."
"Other sea areas",": Moderate."
