"","","","","Page 2","","","","","","","","",""
"Drought","2021 March","37","111","","","","","","","","","",""
"හම්බනකතොට 
Ambalantota","","","","","","","","","","","","",""
"6
High Wind
`k;ghe;Njhl;ilH","2021.03.28","1","3","","","","","1","","","","",""
"දකුනු පලොත","","","","","","","","","","","","",""
"ambantota
njd;","","","","","","","","","","","","",""
"Thissamaharamaya
Flood","2021.03.28-30","20","77","","","","","1","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"Southern","","","","","","","","","","","","",""
"දිසරික් එ තුව khtl;l $l;Lj;njhif District Total","","58","191","0","0","0","0","2","0","0","0","0","0"
"පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","58","191","0","0","0","0","2","0","0","0","0","0"
"අනුරොධ්‍පුර","","","","","","","","","","","","",""
"7
Rajanganaya
High Wind
උතුරු ැද පලොත 
m.Guk","2021.03.29","141","538","","","","5","128","13","","3","3","6"
"tlkj;jpa 
Anuradhapura","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"දිසරික් එ තුව khtl;l $l;Lj;njhif District Total","","141","538","0","0","0","5","128","13","0","3","3","6"
"North Central","","","","","","","","","","","","",""
"පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","141","538","0","0","0","5","128","13","0","3","3","6"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","347","1375","0","1","0","37","232","16","0","8","65","313"
"","","","","රොජ ොරි භොර නිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
