"","","","","","","","","නිවාස්ත්‍ හානි","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","බලපෑමට ලක්වු","","","","Nrjkile;j","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","tPLfs; Houses","Other Damages","","miktplk; Safe Location",""
"","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","",""
"","","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","","",""
"","","","mdu;j;jk;","","මිය යෑම්","","පුද්ගලයින්","","","","",""
"","","ආපදාව","","","","","","","","","",""
"පළාත khfhzk;","","","","","kuzq;f","fhakil","fhzhky;","","කුඩා හා මධය","","","ලවනත් කරුණු"
"#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","",""
"Province","","","","","s;","e;NjhH","NghNdhH","","පරිමාණ වයාපාරික","ඉතා වැදගත් යටිතල","ආරක්ිත","NtW Fwpg;Gf;fs; Remarks"
"","","Disaster","Date of","","Deaths","","","","ස්ත්‍
රථාන சிறிய,","පහසුකම් වලට වූ","ස්ත්‍
රථාන  
පවුේ",""
"","","","","","","","","පූර්ණ","","","",""
"","ප්‍රා.ලේ. ලකා","","commenced","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","","Injured","Missing","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","දිස්ත්‍රික්කය","","","","","","","හානි","","","",""
"","gpuNjr nra.gp     DS","","","FLk;gq;fs; 
egHfs;","","People","People","gFjpasT","நிறுவனங்களின்","fl;likg;Gf;fs;","vz;zpf;i
egHfs; 
FLk;gq;f",""
"","மாவட்டம் District","","","","","","","KOik","","","",""
"","","","","Families
People","","","","Partially","சேதங்கள்; Small, 
Damages to","","s; 
Persons
f   No.",""
"","Division","","","","","","","Fully","","","",""
"","","","","","","","","","Medium, 
critical","","Families
of Safety",""
"","","","","","","","","","Enterprises 
Infrastructure","","Locations",""
"","","","","","","","","","Damages","","",""
"","Ruwanwella","","2022.01.20","105
620","","","","","","","",""
"","Warakapola","","2022.01.31","22
92","","","","","","","",""
"","කෑගල්ල","","","","","","","","","","",""
"1","Nffhiy 
Bulathkohupitiya","Drought","2022.01.26","110
433","","","","","","","","Suppling Drinking Water"
"","Kegalle","","","","","","","","","","",""
"","Deraniyagala","","2022.02.07","160
655","","","","","","","",""
"","Mawanella","","2022.02.07","1242
4524","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1639
6324","0","0","0","0
0","0","0","0
0","0"
"","","High wind","2022.02.22","1
3","","","","1","","","",""
"","Emblipitiya","","","","","","","","","","",""
"","","Fire","2022.02.22","1
8","","","","1","","","",""
"","","","2022.02.24","1
5","","","","1","","","",""
"","Godakawela","","","","","","","","","","",""
"ස්ත්‍බරගමුව","","","2022.02.26","3
9","","","","3","","","",""
"පලාත","","","","","","","","","","","",""
"","Rathnapura","","2022.02.25","1
5","","","","1","","","",""
"rg;ufKt","","","","","","","","","","","",""
"Sabaragamuwa","Kahawatta
රත්නපුර","","2022.02.26","2
5","","","","2","","","",""
"2","Eheliyagoda
,uj;jpdGhp","","2022.02.26","32
122","","","","31","","","",""
"","Rathnapura
Kiriella","High wind","2022.02.26","24
94","","","","24","","","",""
"","Kuruvita","","2022.02.26","88
348","","","","88","","","",""
"","Nivithigala","","2022.02.26","1
3","","","","1","","","",""
"","Kalawana","","2022.02.26","1
5","","","","1","","","",""
"","Balangoda","","2022.02.26","1
4","","","","1","","","",""
"","Pelmadulla","","2022.02.27","1
4","","","","1","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","157
615","0","0","0","1
155","0","0","0
0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1796
6939","0","0","0","1
155","0","0","0
0","0"
"","Weeraketiya","High wind","2022.02.25","1
1","","","","1","","","",""
"","හම්බන්තාට 
Walasmulla","Lightning","2022.02.26","1
5","1","","","","","","",""
"දකුනු පලාත 
3","`k;ghe;Njhl;il","","","","","","","","","","",""
"njd;","Beliatta","High wind","2022.02.26","1
3","","","","1","","","",""
"","Hambantota","","","","","","","","","","",""
"khfhzk;","Tangalle","High wind","2022.02.21","1
4","","","","1","","","",""
"Southern","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4
13","1","0","0","0
3","0","0","0
0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","4
13","1","0","0","0
3","0","0","0
0","0"
"නැ්ගනහිර","මඩකලපුව","","","","","","","","","","",""
"පලාත    
4","kl;lf;fsg;G  
Koralaipattu North","High wind","2022.02.25","1
2","","","","","1","","",""
"fpof;F","Batticaloa","","","","","","","","","","",""
"Eastern","","","","","","","","","","","",""
