"","","","","Page 2","","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","Pasbagekorale
High Wind","1
2019.12.20","3","","","","","1","","","","","","",""
"","Medadumbara
Drowning","1
2019.12.19","5","","1","","","","","","","","","",""
"","Kundasale
Landslid warning","2019.12.20
2","5","","","","","","","","","1","2","","5 Deliwalathenna"
"","හනුවර","","","","","","","","","","","","","","Community Hall"
"ධ්‍ය","","","","","","","","","","","","","","",""
"4","fz;b","","","","","","","","","","","","","",""
"","Minipe
High wind","8
2019.12.20","32","","","","","","3","","","","","",""
"පලොත/kj;jpa","","","","","","","","","","","","","","",""
"","Kandy","","","","","","","","","","","","","",""
"khfhzk;/ Centra","Hatharaliyadda
Cutting Failure","1
2019.12.19","1","","","","","1","","","","","","",""
"","Akurana","2
2019.12.20","7","","","","","","2","","","","","",""
"","Cutting Failure","","","","","","","","","","","","","",""
"","Panvila","5
2019.12.19","17","","","","","","4","","","","","",""
"","Ududumbara
Landslide Risk","11
2019.12.20","38","","","","","","","","","1","11","","38 Kalgamuwa temple"
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","31","108","","1","0","0","2","9","0","0","2","13","43",""
"","","2019.12.04-05","","","","","","","","","","1","2","","11 Lipakele Childcare Center"
"","Landslide","","","","","","","","","","","","","",""
"","Nuwara Eliya","2019.12.19
1","5","","","","","1","","","","1","1","","5 Headrest Cultural Central"
"","Flood","2019.12.20
2","11","","","","","","","","","1","2","11 Park School",""
"","","","","","","","","","","","","","","","01. Munwatte Temple,"
