"","Weather Forecast for Main Cities","","","","2-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","90","55","Mainly fair"
"Batticaloa","31","26","85","70","Mainly fair"
"Colombo","34","26","80","55","Mainly fair"
"Galle","31","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","32","24","90","60","Mainly fair"
"Kandy","32","21","90","60","Mainly fair"
"Nuwara-Eliya","21","10","90","55","Mainly fair"
"Ratnapura","35","24","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","32","26","85","60","Mainly fair"
"Mannar","33","26","90","60","Mainly fair"
