"","","","","","","","","Fully","","Small, Medium,","","","","","",""
"","","","","","","","","","","","","critical","","of Safety","Families",""
"","","","","","","","","","","Enterprises","","Infrastructure","","Locations","",""
"","","","","","","","","","","Damages","","","","","",""
"Nuwaraeliya","","","9","35","","","","","4","","","","","","",""
"නුෙරඑලිය","Landslide Risk/","","","","","","","","","","","","","","",""
"Walapane","","","25","115","","","","","3","","","","","2","22","100"
"1
Etnuypah","Cutting Failiture/Falsh","1/29/2025","","","","","","","","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","",""
"Hanguranketha
Nuwara Eliya","Flood","","16","75","","","","","13","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","",""
"Kothmale
Central","","","1","3","","","","","1","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","51","228","0","0","0","0","21","","0","","0","2","22","100"
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","51","228","0","0","0","0","21","","0","","0","2","22","100"
"2
Hambanthota
Katuwana","High wind","2025.01.24","1","5","","","","","","","","","","","",""
"දකුනු පලාත/njd;","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total
khfhzk;/ Southern","","","1","5","0","0","0","0","0","","0","","0","0","0","0"
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","1","5","0","0","0","0","0","","0","","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","52","233","0","0","0","0","21","","0","","0","2","22","100"
