"","Temporarily strong wind gust and very rough seas can be expected during thundershowers."
"B
ay of Bengal",""
"Weather:",""
"10 - 18N, 87E-100E",": Showers or thundershowers at most places."
"EQ - 05N, 85E-100E",": Showers or thundershowers at most places."
"Other sea areas",": Showers or thundershowers at several places."
"W
inds:",""
"EQ - 05N, 85E-100E",": South-westerly / (40-50) kmph; gusting up to (60-70) kmph."
"05N - 13N, 80E-100E",": South-westerly / (30-40) kmph; gusting up to (50-60) kmph."
"Other sea areas",": South-westerly / (30-40) kmph."
