"","Weather Forecast for Main Cities","","","","24-May-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","60","Showers or thundershowers are likely after 4.00p.m"
"Batticaloa","32","26","90","701","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","90","75","A few showers"
"Galle","30","26","90","75","A few showers"
"Jaffna","33","24","90","70","Mainly fair"
"Kandy","32","22","95","60","Mainly fair"
"Nuwara-Eliya","22","11","95","70","Mainly fair"
"Ratnapura","33","23","95","60","Mainly fair"
"Trincomalee","34","25","95","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","27","90","75","Mainly fair"
"","ප්‍රධාන  නගර සදහා කාෙගුණ අනාවැකිය","","","","2023-05-24"
"","උෂ්ණත්වය(ලස. අංශ්‍ක)","","සාලේක්ෂ ආර්ද්‍රතාවය(%)","",""
"නගරය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","25","95","60","සවස 4.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"මඩකලපුව","32","26","90","701","සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"ගකාළඹ","31","26","90","75","වැසි ස්වල්පයක්"
"ොල්ල","30","26","90","75","වැසි ස්වල්පයක්"
"යාපනය","33","24","90","70","ප්‍රධාන වශගයන් වැසි රහිත"
"මහනුවර","32","22","95","60","ප්‍රධාන වශගයන් වැසි රහිත"
"නුවරඑළිය","22","11","95","70","ප්‍රධාන වශගයන් වැසි රහිත"
"රත්නපුරය","33","23","95","60","ප්‍රධාන වශගයන් වැසි රහිත"
"ිකුණාමලය","34","25","95","60","සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"මන්නාරම","32","27","90","75","ප්‍රධාන වශගයන් වැසි රහිත"
"","பிரதான நகரங் களுக்கான வானிலை முன் னறிவித்தை்","","","",""
"","வவப்பநிலை (0C)","","சாரீரப்பதன்  (%)","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலைந்த","உச்ச","குலைந்த",""
"","","","","","பி.ப. 4.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"அனுராதபுரம்","34","25","95","60",""
"","","","","","மழை பபய் யும் சாத்தியம்"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"மட்டக்களப்பு","32","26","90","701",""
"","","","","","மழை பபய் யும் சாத்தியம்"
"வகாழும் பு","31","26","90","75","சிறிதளவில்  மழை பபய் யும்"
"காலி","30","26","90","75","சிறிதளவில்  மழை பபய் யும்"
"யாழ் ப்பாணம்","33","24","90","70","பிரதானமாக சீரான வானிழல"
"கண் டி","32","22","95","60","பிரதானமாக சீரான வானிழல"
"நுவவரலியா","22","11","95","70","பிரதானமாக சீரான வானிழல"
"இரத்தினபுரி","33","23","95","60","பிரதானமாக சீரான வானிழல"
"","","","","","பி.ப. 2.00 மணிக்குப் பின் னர் மழை அல் லது இடியுடன்  கூடிய"
"திருககாணமலை","34","25","95","60",""
"","","","","","மழை பபய் யும் சாத்தியம்"
"மன் னார்","32","27","90","75","பிரதானமாக சீரான வானிழல"
