"","","","","","","","","People","People","","","நிறுவனங்களின்","","","","","",""
"","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","","","gFjpasT","","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","egHfs;"
"","மாவட்டம் District","","","","","","","","","KOik","","","","","","","",""
"","","","","","Families","People","","","","","Partially","சேதங்கள்; Small,","","Damages to","","f   No.","s;","Persons"
"","","Division","","","","","","","","Fully","","","","","","","",""
"","","","","","","","","","","","","Medium,","","critical","","of Safety","Families",""
"","","","","","","","","","","","","Enterprises","","Infrastructure","","Locations","",""
"","","","","","","","","","","","","Damages","","","","","",""
"","","Lunugala","","","245","706","","","","","245","","","","2","","",""
"","","Welimada","","","35","148","","","","","35","","","","","","",""
"","","Badulla","","","11","55","","","","","11","","","","","","",""
"","","Uva Paranagama","","","8","33","","","","","8","","","","","","",""
"","","Haldumulla","","","192","644","","2","","","192","","","","11","","",""
"","","Bandarawela","","","4","15","","","","","4","","","","","","",""
"","බදුල්ල     gJs;is","","","","","","","","","","","","","","","","",""
"1","","Haputhale","High Wind","2022.12.07/08/09","62","184","","","","","62","","","","","","",""
"","Badulla","","","","","","","","","","","","","","","","",""
"","","Ridimaliyadda","","","4","14","","","","","4","","","","1","","",""
"","","Soranathota","","","5","14","","1","","","5","","","","","","",""
"ඌව","","Passara","","","261","665","","","","","261","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","","","","",""
"","","Mihahakiula","","","6","13","","","","","6","","","","","","",""
"Uva","","","","","","","","","","","","","","","","","",""
"","","Haliela","","","2","8","","","","","2","","","","","","",""
"","","Ella","","","108","478","","","","","60","","","","8","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","943","2977","0","3","0","0","895","","0","","22","0","0","0"
"","","Badalkubura","","","97","395","","","","","96","","1","","","","",""
"","","Wellawaya","","","72","295","","","","","70","","2","","","","",""
"","ග ානරාෙල","Madulla","","","1","3","","","","","1","","","","","","",""
"2","nkhdwhfiy","","High Wind","2022.12.07-08","","","","","","","","","","","","","",""
"","","Bibila","","","335","976","","3","","","335","","","","","","",""
"","Moneragala","","","","","","","","","","","","","","","","",""
"","","Medagama","","","44","184","","","","","44","","","","","","",""
"","","Siyabalanduwa","","","15","56","","","","","15","","","","","","",""
"","","Buththala","","","17","59","","","","","17","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","581","1968","0","3","0","0","578","","3","","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","1524","4945","0","6","0","0","1473","","3","","22","0","0","0"
"","","","","2022.12.08","25","112","2","4","","","25","","","","","","",""
"","","Walapane","","","","","","","","","","","","","","","",""
"","නුවරඑලිය","","","2022.12.09","171","653","","","","","160","","2","","","","",""
"","","","High Wind / Tree","","","","","","","","","","","","","","",""
"ධ්‍ය  පලාත","","","","","","","","","","","","","","","","","",""
"","Etnuypah","","","","","","","","","","","","","","","","",""
"","","","Fallen","","","","","","","","","","","","","","",""
"kj;jpa","Nuwara Eliya","","","","","","","","","","","","","","","","",""
"","","Hanguranketha","","2022.12.08","1","2","","","","","1","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","","",""
"Central","","Nuwara Eliya","","2022.12.09","2","6","","","","","2","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","199","773","2","4","0","0","188","","2","","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","199","773","2","4","0","0","188","","2","","0","0","0","0"
"","","Navithanveli","","","5","20","","","","","5","","","","","","",""
