"Medawachchiya","2022.12.09","3","11","","","","","3","","","","",""
"Horoupathana","2022.12.09","2","10","","","","","2","","","","",""
"අනුරාධ්‍පුර     m.Guk; 
උතුරු ැද පලාත","","","","","","","","","","","","",""
"15
Galenbidunuwewa","High Wind
2022.12.09","1","3","","","","","1","","","","",""
"Anuradhapura
tlkj;jpa","","","","","","","","","","","","",""
"Mihinthalaya
khfhzk;","2022.12.08","1","3","","","","","1","","","","",""
"North Central","","","","","","","","","","","","",""
"Thalawa","2022.12.09","1","6","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","8","33","0","0","0","0","8","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","8","33","0","0","0","0","8","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","3005","10433","3","15","0","2","2720","40","23","0","0","0"
"","","","","ආපදා කළ නාකරණ  ධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
