"","","Flood","2023.11.06","25","109","","","","","","","","1","25","109 Pattigoda Community"
"බස්ත්‍රනොහිර පලොත","","","","","","","","","","","","","","","Hall"
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","31","134","0","0","0","0","0","0","0","4","35","153"
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","31","134","0","0","0","0","0","0","0","4","35","153"
"","Thumpane","Heavy Rain","2023.11.05","1","6","","","","","1","","","","",""
"","Pathahewaheta","Rock Fallen","2023.11.05","1","3","","","","","1","","","1","5","14 Roam Cetalic Church"
"","Harispaththuwa","Heavy Rain","2023.11.03","2","10","","","","","2","","","","",""
"","Kundasale","Heavy Rain","2023.11.04","5","24","","","","","5","","","","",""
"","Gangawata Korale","Heavy Rain","2023.11.05","3","11","","","","","3","","","","",""
"","Pathadumbara","Heavy Rain","2023.11.03","4","18","","","","","4","","","","",""
"නුවර","Medadumbara","Cutting Faliure","2023.11.04","3","13","","","","","3","`","","","",""
"7","fz;b","","","","","","","","","","","","","",""
"","Doluwa","Heavy Rain","2023.11.04","2","10","","","","","1","","","","",""
"Kandy","","","","","","","","","","","","","","",""
"","Udunuwara","Heavy Rain","2023.11.03","1","4","","","","","1","","","","",""
"","","Lightning","2023.11.04","3","12","","","","","3","","","","",""
"","Pasbage Korale","Rock Fallen","2023.11.04","4","15","","","","","","","","","",""
"","","Heavy Rain","2023.11.04","1","3","","","","","1","","","","",""
"","Yatinuwara","Heavy Rain","2023.11.05","3","15","","","","","3","","","","",""
"","","Heavy Rain","2023.11.03","1","2","","","","","1","","","","",""
"ධ්‍ය  පලොත","","","","","","","","","","","","","","",""
"","Poojapitiya","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","Cutting Faliure","2023.11.04","1","2","","","","","1","","","","",""
"Central","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","35","148","0","0","0","0","30","0","0","1","5","14"
"","Ukuwela","Heavy Rain","2023.11.05","9","30","","","","1","5","","","","",""
"ොතමල්","","","","","","","","","","","","","","",""
"","Galewela","Heavy Rain","2023.11.03","1","4","","","","","1","","","","",""
"8","khj;jis","","","","","","","","","","","","","",""
"","Raththota","Heavy Rain","2023.11.05","1","5","","","","","1","","","","",""
"Matale","","","","","","","","","","","","","","",""
"","Mathale","High Wind","2023.11.03","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","12","43","0","0","0","1","8","0","0","0","0","0"
