"","Mundalam","Flood","2023.11.03","835","2597","","",""
"","Puttalam","Flash Flood","2023.11.03","1197","4368","","",""
"","Pallama","Flash Flood","2023.11.05","13","56","","",""
"පුත්තල","","","","","","","",""
"","Madampe","Flash Flood","2023.11.05","6","31","2","",""
"4
Gj;jsk;","","","","","","","",""
"Puttalam","","Flash Flood","2023.11.04","7","29","","",""
"","Wanathavilluwa","","","","","","",""
"","","Flash Flood","2023.11.05","61","233","1","5","21"
"","Chilaw","Flash Flood","2023.11.05","155","644","1","5","15"
"","Mahakumbukkadawala","Flash Flood","2023.11.04","18","53","","",""
"","Anamaduwa","Flash Flood","2023.11.06","11","49","","",""
"","Mahawewa","Flood","2023.11.06","35","150","","",""
