"","","","","","","Page 2","","","","","","","","",""
"","Thissamaharama","","","2","7","","","","","2","","","","",""
"","හම්බන්පතොට","High Wind","2020.09.24","","","","","","","","","","","",""
"","8
Walasmulla
`k;ghe;Njhl;il","","","1","1","","","","","1","","","","",""
"දකුනු  ලොත","","","","","","","","","","","","","","",""
"","Hambantota","","","","","","","","","","","","","",""
"njd; khfhzk;","Weeraketiya","Heavy Rain","2020.09.26","1","4","","","","","","","1","","",""
"Southern","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","12","0","0","0","0","3","0","1","0","0","0"
"","ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","4","12","0","0","0","0","3","0","1","0","0","0"
"","Mawanella","Sinking","2020.09.25","1","8","","","","","1","","","","",""
"","කෑෙල්ල     
Bulathkohupitiya","High Wind","2020.09.25-26","4","15","","","","","3","1","","","",""
"","9
Nffhiy","","","","","","","","","","","","","",""
"ස්ත්‍බරෙමුව  ලොත","Warakapola
Kegalle","Rock Fallen","2020.09.27","1","3","","","","","1","","","","",""
"rg;ufKt","","","","","","","","","","","","","","",""
"Sabaragamuwa","Ruwanwella","Tree Fallen","2020.09.23","1","5","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","7","31","0","0","0","0","6","1","0","0","0","0"
"","ළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","7","31","0","0","0","0","6","1","0","0","0","0"
"","යො නය","","","","","","","","","","","","","",""
"","10
Chavakachcheri
aho;g;ghzk;","High Wind","2020.09.29","2","3","","","","","1","","","","",""
"උතුරු  ලොත","","","","","","","","","","","","","","",""
"","Jaffna","","","","","","","","","","","","","",""
"tl khfhzk","","","","","","","","","","","","","","",""
