"","Weather Forecast for Main Cities","","","Date :","15-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","23","95","55","Mainly fair"
"Batticaloa","31","25","95","75","Mainly fair"
"Colombo","32","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","25","90","65","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","34","23","95","70","Mainly fair"
"Kandy","31","20","95","60","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","10","95","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","24","95","50","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","24","95","75","Mainly fair"
"Mannar","32","24","90","60","Mainly fair"
