"","Weather Forecast for Main Cities","","","Date :","2024-08-31"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","60","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","85","70","Showers or thundershowers at times"
"Galle","30","27","85","75","Showers or thundershowers at times"
"Jaffna","31","28","90","75","Showers or thundershowers are likely after 4.00p.m"
"Kandy","30","22","95","65","Showers at times"
"Nuwara-Eliya","20","15","95","70","Showers or thundershowers at times"
"Ratnapura","34","24","95","60","Showers or thundershowers at times"
"Trincomalee","34","26","80","50","Showers or thundershowers are likely after 4.00p.m"
"Mannar","30","28","85","70","A few showers"
