"","","","","","","","","","","","","","",""
"Haliela","","2020.09.01","22","90","Page 2","","","","22","","2","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","Highwind","","","","","","","","","","","","",""
"","","2020.08.31","4","14","","","","","3","","","","",""
"Badulla","","","","","","","","","","","","","",""
"බදුල්ල","Fire","2020.08.17","","","","","","","","","","1","12","54"
"9
gJs;is  
Ridimaliyadda","","2020.08.31","33","111","","","","","28","5","","","",""
"","Highwind","","","","","","","","","","","","",""
"Badulla","","","","","","","","","","","","","",""
"Ella","","2020.08.31","27","104","","","","","27","","","","",""
"Passara","Highwind","2020.09.01","2","14","","","","","2","","","","",""
"Lunugama","Highwind","2020.09.01","1","5","","","","1","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","89","338","0","0","0","1","83","5","2","1","12","54"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","175","725","0","1","0","1","169","5","2","1","12","54"
"Gampaha","","2020.09.02","40","166","","","","","3","","","","",""
"","Flood","","","","","","","","","","","","",""
"Attanagalle","","2020.09.02/03","81","366","","","","","3","","","","",""
"Biyagame","Heavy Rain","2020.09.01","1","2","","","","","1","","","","",""
"Divulapitiya","High Wind","2020.09.02","2","7","","","","","2","","","","",""
"ගම්පහ","","","","","","","","","","","","","",""
"Dompe","","2020.09.02","1","2","","","","","1","","","","",""
"10
fk;g`h","Lightning","","","","","","","","","","","","",""
"Western","","","","","","","","","","","","","",""
"","","2020.09.02","1","4","","1","","","1","","","","",""
"Gampaha
Meerigame
Nky; khfhzk","","","","","","","","","","","","","",""
"","High Wind","2020.09.01","2","7","","","","","2","","","","",""
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","",""
"Minuwangoda","Flood","2020.09.02/03","20","95","","","","","","","","","",""
"Mahara","Flood","2020.09.02","19","70","","","","","1","","","","",""
"Katana","Flood","2020.09.03","104","420","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","271","1139","0","1","0","0","14","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","271","1139","0","1","0","0","14","0","0","0","0","0"
"Kalpitiya","Highwind","2020.09.02","12","36","","","","4","8","","","","",""
"Arachchikattuwa
පුත්තලම","Flood","2020.09.02","4","19","","","","","4","","","","",""
"වයඹ පලාත   
11","","","","","","","","","","","","","",""
"Gj;jsk; Puttalam
Dankotuwa
tlNky;","Flood","2020.09.02","40","153","","","","","2","","","","",""
"khfhzk;   North 
Nattandiya","Flood","2020.09.02","8","26","","","","","","","","","",""
"Western","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","64","234","0","0","0","4","14","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","64","234","0","0","0","4","14","0","0","0","0","0"
"Kolonna","High Wind","2020.08.31","1","4","","","","","1","","","","",""
"රත්නපුර","","","","","","","","","","","","","",""
"Eheliyagoda","","2020.09.01","2","9","","","","","2","","","","",""
"12
,uj;jpdGhp 
ස්ත්‍බරගමුව පලාත","Heavy Rain","","","","","","","","","","","","",""
"Embilipitiya","","2020.09.01","3","10","","","","","3","","","","",""
"Rathnapura
rg;ufKt","","","","","","","","","","","","","",""
"Kirielle","Tree Fallen","2020.09.02","1","4","","","","","1","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","7","27","0","0","0","0","7","0","0","0","0","0"
