"","","","","","","","People","","Fully","Partiall","Small, Medium,","Damages to","","",""
"","","","","","","","","People","","","","","of Safety","Families",""
"","","","","","","","","","","y","Enterprises","critical","","",""
"","","","","","","","","","","","","","Locations","",""
"","","","","","","","","","","","Damages","Infrastructure","","",""
"","නුවරඑලිය","","","","","","","","","","","","","",""
"මධ්‍යම පලාත","1
Nuwaraeliya
Etnuypah","Fire","2020.08.11","35","125","","","","24","","","","1","35",""
"kj;jpa khfhzk","Nuwara Eliya","","","","","","","","","","","","","",""
"Central","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","35","125","0","0","0","24","0","0","0","1","35","125"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","35","125","0","0","0","24","0","0","0","1","35","125"
"","හම්බන්්තාට 
Katuwana","High  Wind","2020.09.01","3","11","","","","","3","","","","",""
"","2
`k;ghe;Njhl;ilH","","","","","","","","","","","","","",""
"","Hambantota
ambantota","High  Wind","2020.09.01","73","272","","","","","31","2","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","76","283","0","0","0","0","34","2","0","0","0","0"
"","Kadawathsathara","","2020.09.01","1520","6702","","","","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","",""
"","Bopepoddala","","2020.09.01","2","11","","2","","","2","","","","",""
"njd; khfhzk","","","","","","","","","","","","","","",""
"","Akmeemana
ගාල්ල","","2020.09.01","60","128","","","","","","","","","",""
";Southern","3","Heavy Rain","","","","","","","","","","","","",""
"","fhyp      Galle
Niyagame","","2020.09.01","8","32","","","","","8","","","","",""
"","Elpitiya","","2020.09.01","76","275","","","","","21","","","","",""
"","Nagoda","","2020.09.02","5","18","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1671","7166","0","2","0","0","31","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1747","7449","0","2","0","0","65","2","0","0","0","0"
"","Mannar Town","","","100","403","","","","","3","","","","",""
"","මන්නාරම","","","","","","","","","","","","","",""
"","4
kd;dhH   
Nannadan","Lightning & High Wind","2020.09.01","46","154","","","","","46","","","","",""
"","Mannar","","","","","","","","","","","","","",""
"","Musali","","","224","861","","3","","","219","5","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","370","1418","0","3","0","0","268","5","0","0","0","0"
"tl khfhzk","","","","","","","","","","","","","","",""
"Northen","වව්නියාව  tTdpah","","","","","","","","","","","","","",""
"","5
Vavuniya Town","High Wind","2020.08.31","55","169","","","","5","50","","","","",""
"","Vavuniya","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","55","169","0","0","0","5","50","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","425","1587","0","3","0","5","318","5","0","0","0","0"
"","Town & Gravets","","","1","7","","","","","1","","","","",""
"","","","2020.08.31","","","","","","","","","","","",""
"","","","","17","59","","","","","17","","","","",""
"","Kanthale
ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"","","","2020.09.02","1","3","","","","","1","","","","",""
"","6
jp.kiy","High Wind","","","","","","","","","","","","",""
"නැ්ගනහිර පලාත","Pathavisripura","","2020.08.30","1","4","","","","","1","","","","",""
"","Trincomalee","","","","","","","","","","","","","",""
"fpof;F    Eastern","Seruvila","","2020.09.01","1","4","","","","","1","","","","",""
"","Thambalagamam","","2020.09.02","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","22","81","0","0","0","0","22","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","22","81","0","0","0","0","22","0","0","0","0","0"
"","Welikanda
්පා්ලාන්නරුව","High Wind","2020.08.31","3","13","","","","","3","","","","",""
"උතුරුමැද පලාත","7
nghyd;dWit 
Hingurakgoda","Lightning","2020.08.31","1","5","1","","","","","","","","",""
"tlkj;jpa","Polonnaruwa","","","","","","","","","","","","","",""
"","Thamankaduwa","High Wind","2020.08.31","1","4","","","","","1","","","","",""
"khfhzk;   North","","","","","","","","","","","","","","",""
"Central","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","5","22","1","0","0","0","4","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","5","22","1","0","0","0","4","0","0","0","0","0"
"ඌව","Monaragala","Highwind","2020.08.31","12","56","","","","","12","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","",""
"","Buttala
්මානරාගල","Highwind","2020.08.31","56","252","","1","","","56","","","","",""
"Uva","","","","","","","","","","","","","","",""
"","8
Medagame
nkhdwhfiy","Highwind","2020.08.31","4","19","","","","","4","","","","",""
"","Moneragala
Bibila","Highwind","2020.08.31","12","51","","","","","12","","","","",""
"","Badalkumbura","Highwind","2020.08.31","2","9","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","86","387","0","1","0","0","86","0","0","0","0","0"
