"","","","","","","Page 2","","","","","","","","",""
"","","","2020.04.18","2","9","","","","","2","","","","",""
"","","","2020.04.17","1","4","","","","","1","","","","",""
"","Gangawata korale","Tree Fallen","2020.04.18","1","5","","","","","1","","","","",""
"","","","2020.04.27","2","7","","","","","2","","","","",""
"","","","2020.04.23","259","1039","","","","","223","","","","",""
"","","","2020.04.16","1","6","","","","","1","","","","",""
"","","","2020.04.17","1","2","","","","","1","","","","",""
"","Doluwa","","","","","","","","","","","","","",""
"","","","2020.04.18","13","54","","1","","","13","","","","",""
"","","Heavy Rain","","","","","","","","","","","","",""
"","","","2020.04.23","1","5","","","","","1","","","","",""
"","","","2020.04.23","1","4","","","","","1","","","","",""
"","","High wind","","","","","","","","","","","","",""
"","Udapalath","","2020.04.26-28","3","13","","","","","3","","","","",""
"","","","2020.04.15","1","4","","","","","1","","","","",""
"","මහනුවර","Tree Fallen","2020.04.20","1","1","","","","","1","","","","",""
"","Minipe","","","","","","","","","","","","","",""
"3","fz;b","","2020.04.15","6","20","","1","","","6","","","","",""
"","Kandy","","","","","","","","","","","","","",""
"","Delthota","","2020.04.17","2","11","","","","","2","","","","",""
"","","","2020.04.14","1","4","","","","","1","","","","",""
"","Thumpane","","2020.04.16","1","4","","","","","1","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","",""
"","","Heavy Rain","2020.04.25","3","9","","","","","3","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","",""
"Central","","","2020.04.25","1","6","","","","","1","","","","",""
"","Harispattuwa","","","","","","","","","","","","","",""
"","","","2020.04.23","2","9","","","","","2","","","","",""
"","Panvila","","2020.04.16","9","36","","","","","9","","","","",""
"","Udunuwara","","2020.04.23","16","63","","","","","16","","","","",""
"","Pathahewaheta","","2020.04.23","12","54","","","","","11","1","","","",""
"","Akurana","","2020.04.25","1","4","","","","","1","","","","",""
"","","","2020.04.28","1","5","","","","","1","","","","",""
"","Pasbage korale","","","","","","","","","","","","","",""
"","","","2020.04.26","5","13","","","","","5","","","","",""
"","","High wind","2020.04.26","2","9","","","","","2","","","","",""
"","Poojapitiya","","","","","","","","","","","","","",""
"","","","2020.04.25","2","8","","","","","2","","","","",""
"","Kundasale","","2020.04.23","1","2","","","","","1","","","","",""
"","Ududumbara","","2020.04.25","1","1","","","","","1","","","","",""
"","Paathadumbara","","2020.04.27","43","172","","","","","43","","","","",""
"","Ganga ihala korale","","2020.04.23","5","20","","","","","5","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","414","1655","0","2","0","0","377","1","0","0","0","0"
"","Ambagamuwa","High Wind","2020.04.14","5","26","","","","","5","","","1","5","26 Venture Child Care Center"
"","නුවරඑලිය  
Nuwaraeliya","Landslide","2020.04.16","1","5","","","","","","","","","",""
"4","Etnuypah","","","","","","","","","","","","","",""
"","Walapane
Nuwara Eliya","High Wind","2020.04.19","4","14","","","","","","","","","",""
"","Kothmale","Landslide Risk","2020.04.23","1","6","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","11","51","0","0","0","0","5","0","0","1","5","26"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","425","1706","0","2","0","0","382","1","0","1","5","26"
"","Aththanagalla","High wind","2020.04.21","5","25","","","","","5","","","","",""
"","","Heavy Rain","2020.04.22","1","3","","","","","1","","","","",""
"","Miirigama","","","","","","","","","","","","","",""
"","","","2020.04.21","2","5","","","","","2","","","","",""
"","Minuwangoda","High wind","2020.04.20","1","2","","","","","1","","","","",""
"","ගම්පහ","","","","","","","","","","","","","",""
"","Ja-Ela","","2020.04.10","2","7","","","","","2","","","","",""
"5","fk;g`h","","","","","","","","","","","","","",""
"","Mirigama","","","1","5","","","","","1","","","","",""
"","Gampaha","","2020.04.18","","","","","","","","","","","",""
"","","","","52","193","","","","","50","","","","",""
"බස්ත්‍රනාහිර පලාත","","High Wind","","","","","","","","","","","","",""
"","Dompe","","2020.04.19","31","119","","","","","31","","","","",""
"Nky; khfhzk","","","","","","","","","","","","","","",""
"Western","","","2020.04.20/21","15","62","","","","1","14","","","","",""
"","Aththanagalla","","2020.04.18","4","25","","","","","4","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","114","446","0","0","0","1","111","0","0","0","0","0"
"","කළුතර","","","","","","","","","","","","","",""
"6","Bulathsinhala
fSj;Jiw","High wind","2020.04.23","75","100","","","","","24","","","","",""
"","Kalutara","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","75","100","0","0","0","0","24","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","189","546","0","0","0","1","135","0","0","0","0","0"
"","","High Wind","2020.04.15","2","7","","","","","2","1","","","",""
"","Mahakumbukkadawala","","","","","","","","","","","","","",""
"","","","2020.04.17","2","8","","","","","2","","","","",""
"","","Lightning","2020.04.23","1","4","","","","","1","","","","",""
"","Karuwalagaswewa","","2020.04.15","194","356","","","","","194","","","","",""
"","","","2020.04.16","10","38","","","","","10","","","","",""
"","","","2020.04.15","3","11","","","","","2","1","","","",""
"","Puttalam","","","","","","","","","","","","","",""
"","","High Wind","2020.04.16","2","8","","","","","2","","","","",""
