"மாவட்டம் 
gpuNjr nra.gp      DS","","","FLk;gq;fs;","egHfs;","","","","","","","","vz;zpf;i","FLk;gq;f","egHfs;"
"","","","","","","","","KOik","sT","","fl;likg;Gf;fs;","","",""
"District
Division","","","Families","People","","","g","","","சேதங்கள்; Small,","","f   No.","s;","Persons"
"","","","","","","People","","Fully","Partiall","","Damages to","","",""
"","","","","","","","People","","","Medium,","","of Safety","Families",""
"","","","","","","","","","y","","critical","","",""
"","","","","","","","","","","Enterprises","","Locations","",""
"","","","","","","","","","","Damages","Infrastructure","","",""
"","","2020.04.18","14","59","","1","","","12","","","","",""
"Ruwanwella","High Wind","","","","","","","","","","","","",""
"","","2020.04.21","16","67","","","","1","15","1","","","",""
"","High Wind","2020.04.19","1","4","","","","","1","","","","",""
"Bulathkohupitiya","Lightning","2020.04.17","3","13","","","","","3","","","","",""
"","High Wind","2020.04.22/23","6","23","","","","","6","","","","",""
"","High Wind","2020.04.18","7","26","","","","1","7","","","","",""
"Warakapola","","","","","","","","","","","","","",""
"","High Wind","2020.04.22","21","93","","","","","21","","","","",""
"","Tree Fallen","2020.04.12./18","2","7","","","","","2","","","","",""
"Mawanella","Rock fallen","","1","7","","","","","1","","","","",""
"","","2020.04.17","","","","","","","","","","","",""
"","Wall Collaps","","1","2","","","","","1","","","","",""
"","Heavy Rain","","2","5","","","","1","","","","","",""
"","","2020.03.24/ 04.19","","","","","","","","","","","",""
"Kegalle","Tree Fallen","","6","16","","","","","6","","","","",""
"","High Wind","2020.04.10/14/17/18","5","20","","","","","5","","","","",""
"කෑගල්ල","Tree Fallen","2020.04.17","2","6","","","","","1","","","","",""
"1
Nffhiy   
Aranayaka","","","","","","","","","","","","","",""
"","Rock Fallen","2020.04.17","1","7","","","","","1","","","","",""
"Kegalle","","","","","","","","","","","","","",""
"","Wall Collaps","2020.04.18","1","2","","","","","1","","","","",""
"","","2020.04.15/18","46","169","","1","","1","45","","","","",""
"","High Wind","","","","","","","","","","","","",""
"","","2020.04.21","10","29","","","","","10","","","","",""
"Dehiowita","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","Lightning","2020.04.18","1","5","","","","","1","","","","",""
"rg;ufKt","High Wind","2020.04.22/26","5","21","","","","","5","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","",""
"","","2020.04.01 / 19","21","92","","","","","20","","","","",""
"","","2020.04.20","51","216","","","","","51","","","","",""
"","High wind","","","","","","","","","","","","",""
"","","2020.04.26","64","276","","","","","64","","","","",""
"Yatiyantota","","","","","","","","","","","","","",""
"","","2020.04.21","6","27","","","","","6","","","","",""
"","Lightning","","8","36","","","","","8","","","","",""
"","","2020.04.01 / 19","","","","","","","","","","","",""
"","Cutting Failure","","1","5","","","","","4","","","","",""
"Rambukkana","High Wind","2020.04.23","6","18","","","","","6","","","","",""
"Deraniyagala","High Wind","2020.04.17to26","23","95","","","","","23","","","","",""
"Galigamuwa","Lightning","2020.04.18/23/26","11","41","","","","","11","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","342","1387","0","2","0","4","337","1","0","0","0","0"
"Eheliyagoda","","2020.04.18","17","70","","","","","16","","","","",""
"Kolonna","","2020.04.18","9","32","","","","","9","","","","",""
"Nivithigala
රත්නපුර","","2020.04.20","3","14","","","","","3","","","","",""
"2
Kalawana
,uj;jpdGhp","High wind","2020.04.20","4","15","","","","","4","","","","",""
"Rathnapura
Kiriella","","2020.04.21","5","23","","","","","5","","","","",""
"Ayagama","","2020.04.22","7","21","","","","","7","","","","",""
"Opanayaka","","2020.04.22","3","10","","","","","2","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","48","185","0","0","0","0","46","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","390","1572","0","2","0","4","383","1","0","0","0","0"
"","","2020.04.18","2","8","","","","","2","","","","",""
"Yatinuwara","Heavy Rain","","","","","","","","","","","","",""
"","","2020.04.16","1","5","","","","","1","","","","",""
"","Cutting Failure","2020.04.23","1","4","","","","","1","","","","",""
"Hatharaliyadda","","2020.04.14","2","8","","","","","2","","","","",""
"","","2020.04.15","7","27","","","","","7","","","","",""
