"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","දිනය :     2024-04-22",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","36","26","95","50","සෙස 2.00න් පසුෙ ෙැසි වහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැක"
"මඩකලපුෙ","33","27","95","75","ප්‍රධාන ෙශවයන් ෙැසි රහිත"
"වකාළඹ","32","25","90","65","සෙස 2.00න් පසුෙ ෙැසි වහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැක"
"ගාල්ල","31","26","85","70","සෙස 2.00න් පසුෙ ෙැසි වහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැක"
"යාපනය","35","28","95","60","සෙස 2.00න් පසුෙ ෙැසි වහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැක"
"මහනුෙර","33","24","95","50","සෙස 2.00න් පසුෙ ෙැසි වහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැක"
"නුෙරඑළිය","25","10","95","55","සෙස 2.00න් පසුෙ ෙැසි වහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැක"
"රත්නපුරය","34","24","95","60","සෙස 2.00න් පසුෙ ෙැසි වහෝ ගිගුරුම් සහිත ෙැසි ඇති වේ"
"ත්‍රිකුණාමලය","35","26","90","65","ප්‍රධාන ෙශවයන් ෙැසි රහිත"
"මන්නාරම","33","27","90","70","සෙස 2.00න් පසුෙ ෙැසි වහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැක"
