"","Weather Forecast for Main Cities","","","Date :","20-Jun-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","60","Mainly fair"
"Batticaloa","34","27","85","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","27","95","80","Several spells of showers"
"Galle","30","25","90","80","Several spells of showers"
"Jaffna","32","27","85","70","Mainly fair"
"Kandy","29","22","90","70","A few showers"
"Nuwara-Eliya","18","15","95","80","A few showers"
"Ratnapura","32","23","95","70","Several spells of showers"
"Trincomalee","35","26","80","55","Mainly fair"
"Mannar","31","28","90","75","Mainly fair"
