"","දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :18th April 2025 at 0900hrs","","","","","","","","","","","","",""
"","","","","","","","","නිවාස්ත්‍ හානි Nrjkile;j","","","","","",""
"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","බලපෑමට ලක්වු","","","","","","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"","","","","","","","","tPLfs; Houses","","","","","",""
"Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","","","","Other Damages","","miktplk; Safe Location","",""
"","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","","","",""
"","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","",""
"","","","","මිය යෑම්","","","පුද්ගලයින්","","","කුඩා හා මධය","","","",""
"","ආපදාව","mdu;j;jk;","","","","","","","","","ඉතා වැදගත් යටිතල","","",""
"පළාත khfhzk;","","","","kuzq;f","","fhakil","fhzhky;","","","පරිමාණ වයාපාරික","","ආරක්ිත","","ලවනත් කරුණු"
"#","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","ස්ත්‍
රථාන சிறிய,","පහසුකම් වලට වූ","ස්ත්‍
රථාන  
පවුේ","",""
"","","","","s;","","e;NjhH","NghNdhH","","","","","","","NtW Fwpg;Gf;fs; Remarks"
"Province
ප්‍රා.ලේ. ලකා","","","","","","","","","","","","","",""
"","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","Deaths","","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව 
ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"දිස්ත්‍රික්කය","","","","","","","","පූර්ණ හානි","","நிறுவனங்களின்","","","",""
"gpuNjr nra.gp     DS","","","FLk;gq;fs; 
egHfs;","","","Injured","Missing","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i
FLk;gq;f","egHfs;",""
"","","commenced","","","","","","KOik Fully","","","","","",""
"மாவட்டம் District","","","Families
People","","","","","","Partially","சேதங்கள்; Small, 
Damages to","","s; 
f   No.","Persons",""
"Division","","","","","","People","People","","","","","","",""
"","","","","","","","","","","Medium, 
critical","","Families
of Safety","",""
"","","","","","","","","","","Enterprises 
Infrastructure","","Locations","",""
"","","","","","","","","","","Damages","","","",""
"ගාල්ල","","","","","","","","","","","","","",""
"Niyagama
fhyp         
1","Tree fallen","2025.04.17","1
6","","","","","","1","","","","",""
"Galle","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","1
6","","0","0","0","0","1","0","0","0
0","0",""
"Ambalantota","Lightning","2025.04.06","1
4","","","","","","","","","","",""
"","Heavy Rain and High","","","","","","","","","","","","",""
"Lunugamwehera","","2025.04.08","7
16","","","","","","7","","","","",""
"","Wind","","","","","","","","","","","","",""
"","Heavy Rain and High","","","","","","","","","","","","",""
"","","2025.04.10","1
2","","","","","","1","","","","",""
"","Wind","","","","","","","","","","","","",""
"Katuwana","","","","","","","","","","","","","",""
"","Lightning","2025.04.07","5
18","","","","","","5","","","","",""
"","Landslide","2025.04.07","2
7","","","","","","2","","","","",""
"","Heavy Rain and High","","","","","","","","","","","","",""
"Okewela","","2025.04.07/08","2
8","","","","","","2","","","","",""
"","Wind","","","","","","","","","","","","",""
"දකුණු පලාත","","","","","","","","","","","","","",""
"","Heavy Rain and High","","","","","","","","","","","","",""
"හම්බනවතාට 
njd; khfhzk;","","2025.09.04/09","3
11","","","","","","3","","","","",""
"","Wind","","","","","","","","","","","","",""
"2
Southern
`k;ghe;Njhl;il","","","","","","","","","","","","","",""
"Walasmulla","Heavy Rain/Lightning","2025.04.08","2
7","","","","","","2","","","","",""
"Hambantota","","","","","","","","","","","","","",""
"","Heavy Rain/Flash","","","","","","","","","","","","",""
"","","2025.04.07","2
8","","","","","","1","","","","",""
"","Flood","","","","","","","","","","","","",""
"","Heavy Rain and High","","","","","","","","","","","","",""
"","","2025.04.10","5
24","","","","","","1","","","","",""
"","Wind","","","","","","","","","","","","",""
"Hambantota","","","","","","","","","","","","","",""
"","Heavy Rain/Flash","","","","","","","","","","","","",""
"","","2025.04.09","40
135","","","","","","7","","","","",""
"","Flood","","","","","","","","","","","","",""
"","Heavy Rain and High","","","","","","","","","","","","",""
"Thangalla","","2025.04.08","2
8","","","","","","2","","","","",""
"","Wind","","","","","","","","","","","","",""
"Sooriyawewa","Flash Flood","2025.04.09","49
183","","","","","","","","","","",""
"Agunakolapelessa","Heavy Rain","2025.04.06/07","","","","","","","2","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","121
431","","0","0","0","0","35","0","0","0
0","0",""
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","122
437","","0","0","0","0","36","0","0","0
0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","122
437","","0","0","0","0","36","0","0","0
0","0",""
"","","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","",""
