"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","33","24","95","65","වැසි වාර කිහිපයක්"
"මඩකලපුව","32","26","90","75","වැසි වාර කිහිපයක්"
"හකාළඹ","31","25","95","70","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ොල්ල","31","25","95","75","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"යාපනය","33","25","95","60","වැසි වාර කිහිපයක්"
"ම නුවර","30","22","95","75","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"නුවරඑළිය","22","14","95","70","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"රත්නපුරය","33","23","95","65","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ත්‍රිකුණාමලය","31","24","95","80","වැසි වාර කිහිපයක්"
"මන්නාරම","32","25","95","70","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
