"","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","","","","","","","FLk;gq;f",""
"","மாவட்டம் District","","","","","","","","","KOik","","","","","",""
"","","","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons"
"","","Division","","","","","","","","Fully","","","","","",""
"","","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","","Damages","","","",""
"ඌව","බදුල්ල","","","","","","","","","","","","","","",""
"Cth khfhzk;","gJs;is   
1","Haldummulla","Landslide","2023.03.19","71","242","","6","","3","37","","","1","71","242 Safety center at Mahakanda"
"","","","","","","","","","","","","","","","","Tea Factory"
"Uva","Badulla","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","71","242","0","6","0","3","37","0","0","1","71","242"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","71","242","0","6","0","3","37","0","0","1","71","242"
"","රත්නපුර","Elapatha","Lightning","2023.03.23","1","4","","","","","1","","","","",""
"",",uj;jpdGhp    
2","","","","","","","","","","","","","","",""
"","Rathnapura","kahawaththa","High wind","2023.03.26","1","3","","","","","1","","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","7","0","0","0","0","2","0","0","0","0","0"
"","","Warakapola","High Wind","2023.03.23","1","5","","","","","1","","","","",""
"","","Dehiovita","High Wind","2023.03.25","1","2","","","","","1","","","","",""
"","","","High Wind","2023.03.24/25","3","12","","","","","3","","","","",""
"","","Aranayaka","","","","","","","","","","","","","",""
"සබරගමුව පලාත","","","Lightning","2023.03.26","2","9","","","","","2","","","","",""
"rg;ufKt","කෑගල්ල","","","","","","","","","","","","","","",""
"","","","Lightning","2023.03.24","1","2","","","","","1","","","","",""
"Sabaragamuwa","Nffhiy   
3","Kegalle","","","","","","","","","","","","","",""
"","","","High Wind","2023.03.26","1","5","","","","","1","","","","",""
"","Kegalle","","","","","","","","","","","","","","",""
"","","Mawanella","High Wind","2023.03.26","1","3","","","","","1","","","","",""
"","","Galigamuwa","High Wind","2023.03.25","1","4","","","","","1","","","","",""
"","","","High Wind","2023.03.25","2","10","","","","","2","","","","",""
"","","Rambukkana","","","","","","","","","","","","","",""
"","","","Lightning","2023.03.25","1","3","","","","","1","","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","14","55","0","0","0","0","14","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","16","62","0","0","0","0","16","0","0","0","0","0"
"","නුවරඑලිය","","High Wind","2023.03.23","29","104","","","","","29","","","","",""
"","","Kothmale","","","","","","","","","","","","","",""
"","4
Etnuypah","","Lightning","2023.03.23","3","17","","","","","3","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","",""
"","Nuwara Eliya","","Tree Fallen","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","Nuwaraeliya","","2023.03.23","2","5","","","","","2","","","","",""
"Central","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","34","126","0","0","0","0","34","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","34","126","0","0","0","0","34","0","0","0","0","0"
"","","Vavuniya","","2023.03.22","21","64","","","","","20","1","","","",""
"","වව්නියාව   tTdpah","","","","","","","","","","","","","","",""
"","5","Vavuniya South","Highwind","2023.03.22","22","60","","","","","22","","","","",""
"","Vavuniya","","","","","","","","","","","","","","",""
"උතුරු පලාත   tl","","","","","","","","","","","","","","","",""
"","","Vavuniya North","","2023.03.22","1","4","","","","","1","","","","",""
"khfhzk;   Northen","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","44","128","0","0","0","0","43","1","0","0","0","0"
