"","","commenced","","පුද්ගලයින්","","Injured","Missing","","","","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","","පුද්ගලයින්"
"","","","ස්ත්‍ංඛ්‍යාව","","","","","හානි","gFjpas","நிறுவனங் க","","","","","",""
"மாவட்டம்","gpuNjr nra.gp     DS","","","egHfs;","","People","People","","","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","","egHfs;"
"","","","FLk;gq;fs;","","","","","KOik","T","ளின்","","","","","",""
"","","","","People","","","","","","","Damages to","","f   No.","s;","","Persons"
"District","Division","","Families","","","","","Fully","Partially","சேதங் கள்","","","","","",""
"","","","","","","","","","","","critical","","of Safety","Families","",""
"","","","","","","","","","","Small, Medium,","","","","","",""
"","","","","","","","","","","","Infrastructure","","Locations","","",""
"","","","","","","","","","","Enterprises","","","","","",""
"","","","","","","","","","","Damages","","","","","",""
"රත්නපුර","Elapatha","2021.10.20","6","24","","","","","6","","","","","","",""
"ස්ත්‍බරගමුව","","","","","","","","","","","","","","","",""
"1
,uj;jpdGhp","High Wind","","","","","","","","","","","","","","",""
"පලොත","Kuruwita","2021.10.21","5","22","","","","","5","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","",""
"Sabaragamuw","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","11","46","0","0","0","0","11","0","","0","0","","0","0"
"a/","","","","","","","","","","","","","","","",""
"","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","11","46","0","0","0","0","11","0","","0","0","","0","0"
"","Medadumbara","2021.10.13-20","6","22","","","","","6","","","","","","",""
"","Udunuwara","2021.10.12-16","4","20","","","","","4","","","","","","",""
"නුවර","","","","","","","","","","","","","","","",""
"2
fz;b","Heavy Rain
Minipe","2021.10.16-17","3","13","","","","","3","","","","","","",""
"Kandy","","","","","","","","","","","","","","","",""
"","Harispaththuwa","2021.10.14-17","2","9","","","","","2","","","","","","",""
"","Ganga Ihala Korale","2021.09.28-10.17","2","10","","","","","2","","","","","","",""
"මධ්‍යම පලොත","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","17","74","0","0","0","0","17","0","","0","0","","0","0"
"kj;jpa","","","","","","","","","","","","","","","",""
"","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","17","74","0","0","0","0","17","0","","0","0","","0","0"
"khfhzk;","","","","","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","","",""
"","Flash Flood","","48","96","","","","","","","","","","","",""
"","Nuwara Eliya","","","","","","","","","","","","","","",""
"නුවරඑලිය","","","1","6","","","","","1","","","","","","",""
"3
Etnuypah","","Cutting Faliure
2021.10.23","","","","","","","","","","","","","",""
"Nuwara Eliya","","","10","37","","1","","","","","","","1","","10","37 Sn Lenard School"
"","Walapane","","","","","","","","","","","","","","",""
"","Flash Flood","","1","5","","","","","","","","","","","",""
