"","he forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"","","","Depression"
"25.11.24/1200","5.7/84.3","45-55 gusting to 65",""
"26.11.24/0000","6.8/83.5","50-60 gusting to 70","Deep Depression"
"26.11.24/1200","7.9/82.8","50-60 gusting to 70","Deep Depression"
"27.11.24/0000","8.9/82.1","55-65 gusting to 75","Deep Depression"
"27.11.24/1200","9.8/81.5","55-65 gusting to 75","Deep Depression"
"28.11.24/0000","10.8/80.9","55-65 gusting to 75","Deep Depression"
