"","Weather Forecast for Main Cities","","","Date :","20-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","21","90","55","Mainly fair"
"Batticaloa","30","24","90","70","Mainly fair"
"Colombo","32","25","90","65","Mainly fair"
"Galle","30","24","85","75","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","20","90","60","Mainly fair"
"Kandy","32","20","95","50","Mainly fair"
"Nuwara-Eliya","22","7","95","50","Mainly fair"
"Ratnapura","36","24","95","45","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","31","22","90","60","Mainly fair"
"Mannar","32","24","90","70","Mainly fair"
