"","Weather Forecast for Main Cities","","","","21-Aug-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","45","Mainly fair"
"Batticaloa","35","25","85","55","Mainly fair"
"Colombo","32","27","80","65","A few showers"
"Galle","30","25","85","75","A few showers"
"Jaffna","32","27","80","65","Mainly fair"
"Kandy","31","22","85","50","Mainly fair"
"Nuwara-Eliya","20","14","90","70","Mainly fair"
"Ratnapura","34","24","90","50","A few showers"
"Trincomalee","36","26","80","45","Mainly fair"
"Mannar","32","27","85","75","Mainly fair"
