"","Weather Forecast for Main Cities","","","Date :","10-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","22","95","65","Several spells of showers"
"Batticaloa","29","24","95","80","Showers at times"
"Colombo","31","25","85","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","29","25","90","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","29","24","95","75","A few showers"
"Kandy","30","20","95","60","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","12","95","60","Several spells of showers"
"Ratnapura","34","24","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","24","85","75","Showers at times"
"Mannar","29","25","85","75","Several spells of showers"
