"","Weather Forecast for Main Cities","","","","22-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","55","Several spells of showers"
"Batticaloa","32","25","95","70","Several spells of showers"
"Colombo","32","26","90","70","Showers or thundershowers after 2.00p.m"
"Galle","33","25","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","33","24","95","65","A few showers"
"Kandy","34","21","95","50","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","12","95","50","Showers or thundershowers after 2.00p.m"
"Ratnapura","36","24","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","26","95","60","Several spells of light showers"
"Mannar","32","26","95","60","Showers or thundershowers after 2.00p.m"
