"","Weather Forecast for Main Cities","","","","1-Jul-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","60","Mainly fair"
"Batticaloa","33","27","90","60","Mainly fair"
"Colombo","31","26","95","75","A few showers"
"Galle","30","28","90","80","Several spells of light showers"
"Jaffna","32","28","80","70","Mainly fair"
"Kandy","31","22","95","65","Mainly fair"
"Nuwara-Eliya","21","11","95","70","A few showers"
"Ratnapura","34","23","95","65","Several spells of light showers"
"Trincomalee","36","26","85","55","Mainly fair"
"Mannar","31","28","90","80","Mainly fair"
