"","Haarispattuwa","Heavy Rain","2021.08.12","1","4","","","","","1","","","","",""
"","Deltota","","2021.08.12","1","5","","","","","1","","","","",""
"","Gangawata Korale","","2021.08.12","2","10","","","","","2","","","1","1","6 Le wella Gangarama"
"","","","","","","","","","","","","","","","viharaya"
"","නුවර           fz;b","","","","","","","","","","","","","",""
"මධ්‍යම පලාත 
5","","","","","","","","","","","","","","",""
"","Ududumbara","","2021.08.12","1","5","","","","","1","","","","",""
"","Kandy","","","","","","","","","","","","","",""
"kj;jpa","","","","","","","","","","","","","","",""
"khfhzk;","Poojapitiya","","2021.08.12","1","5","","","","","1","","","","",""
"Central","Gangaihala korale","","2021.08.12","39","180","","","","","31","","","","",""
"","Pasbage korale","","2021.08.12","424","1962","","","","","17","","","6","313","1503"
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","469","2171","0","0","0","0","54","0","0","7","314","1509"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","600","2619","0","0","0","2","70","0","0","7","314","1509"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","798","3384","1","0","0","5","156","16","0","9","326","1563"
"","","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
