"","","","","FLk;gq;fs;","","","","","KOik","T","ளின்","","","","","",""
"","DS","","","","People","","","","","","","Damages to","","f   No.","s;","","Persons"
"District","","","","Families","","","","","Fully","Partially","சேதங் கள்","","","","","",""
"","Division","","","","","","","","","","","critical","","of Safety","Families","",""
"","","","","","","","","","","","Small, Medium,","","","","","",""
"","","","","","","","","","","","","Infrastructure","","Locations","","",""
"","","","","","","","","","","","Enterprises","","","","","",""
"","","","","","","","","","","","Damages","","","","","",""
"මඩකලපුව","","","","","","","","","","","","","","","","",""
"","Eravurpattu,","","","","","","","","","","","","","","","",""
"1
kl;lf;fsg;G","","High Wind","2021.08.12","14","42","","","","","14","","","","","","",""
"නැගගනහිර","Chenkalady","","","","","","","","","","","","","","","",""
"Batticaloa","","","","","","","","","","","","","","","","",""
"පලාත    fpof;F","","","","","","","","","","","","","","","","",""
"Eastern","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","14","42","0","0","0","0","14","0","","0","0","","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","14","42","0","0","0","0","14","0","","0","0","","0","0"
"","Nivithigala","High Wind","2021.0812","1","3","","","","","1","","","","","","",""
"","Kalawana","Cutting failure","2021.08.13","1","3","","","","","1","","","","","","",""
"","Elapatha","Heavy Rain","2021.08.12","1","4","","","","","1","","","","","","",""
"රත්නපුර","","","","","","","","","","","","","","","","",""
"2
uj;jpdGhp","Rathnapura","Heavy Rain","2021.08.12","11","45","","","","","8","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","","","",""
"","Ehaliyagoda","High Wind","2021.08.12","2","7","","","","","2","","","","","","",""
"","Kiriella","High Wind","2021.08.12","1","4","","","","","1","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","","",""
"","Kuruvita","Flood","2021.08.12","35","144","","","","","20","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"Sabaragamuw","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","52","210","0","0","0","0","34","0","","0","0","","0","0"
"a","","","","","","","","","","","","","","","","",""
"","Deraniyagala","","","21","87","","","","","21","6","","","2","","12","54 Deraniyagala cultural centre"
"කෑගල්ල","Yatiyantota","Flood / Cutting failure","","4","13","","","","","4","6","","","","","",""
"3","","","2021.08.12","","","","","","","","","","","","","",""
"","Nffhiy Kegalle","/ High Wind","","","","","","","","","","","","","","",""
"","Aranayaka","","","96","375","","","","3","3","4","","","","","",""
"","Mawanella","","","11","38","1","","","","10","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","132","513","1","0","0","3","38","16","","0","2","","12","54"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","184","723","1","0","0","3","72","16","","0","2","","12","54"
"","","Cutting failure","","38","112","","","","","14","","","","","","",""
"නුවරඑලිය","","Flood","","68","229","","","","","","","","","","","",""
"මධ්‍යම පලාත","Ambagamuwa","","2021.08.12","","","","","","","","","","","","","",""
"4
Etnuypah 
kj;jpa","","","","","","","","","","","","","","","","",""
"","","Landslide","","14","49","","","","2","2","","","","","","",""
"Nuwara Eliya
khfhzk;","","","","","","","","","","","","","","","","",""
"","","Flash Flood","","9","45","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","","","",""
"","Kothmale","High Wind","2021.08.12","2","13","","","","","2","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","131","448","0","0","0","2","16","0","","0","0","","0","0"
