"","Weather Forecast for Main Cities","","","","29-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","60","Mainly fair"
"Batticaloa","33","26","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","31","25","95","75","Several spells of showers"
"Galle","30","27","95","75","Showers at times"
"Jaffna","32","24","85","75","A few showers"
"Kandy","29","21","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","15","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","31","24","95","75","Showers at times"
"Trincomalee","34","25","90","55","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","28","90","80","Showers at times"
