"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","36","26","90","50","ප්‍රධාන වශයයන් වැසි රහිත"
"","","","","","සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"මඩකලපුව","36","26","80","55",""
"","","","","","ැක"
"යකාළඹ","31","27","80","70","වැසි වාර කිහිපයක්"
"ගාල්ල","30","27","85","75","වැසි වාර කිහිපයක්"
"යාපනය","34","28","75","60","ප්‍රධාන වශයයන් වැසි රහිත"
"ම නුවර","28","22","90","65","වැසි වාර කිහිපයක්"
"නුවරඑළිය","19","15","95","75","වැසි වාර කිහිපයක්"
"රත්නපුරය","33","24","95","70","වැසි වාර කිහිපයක්"
"","","","","","සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
