"","","නකොළඹ   
Kaduwela","Flood / ගංවතුර","2018.05.22","1923","7216","","","","1","1922","5","","2","2","8",""
"","10","nfhOk;G","","","","","","","","","","","","","","",""
"","","Rathmalana
Colombo","High Wind","2018.06.11","7","35","","","","","7","","","","","",""
"Western/","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","1930","7251","0","0","0","1","1929","5","0","2","2","8",""
"Nky;","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","One fisherman who"
"khfhzk/","","","","","","","","","","","","","","","","",""
"","","කළුතර","","","","","","","","","","","","","","",""
"බස් ාහිර","","","","","","","","","","","","","","","","","went for fisharing are"
"","11","Beruwala
fSj;Jiw","Strong Wind","2018.06.07","","1","","","1","","","","","","","",""
"පලාත","","","","","","","","","","","","","","","","","missing since"
"","","Kalutara","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","07/06/2018"
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","0","1","0","0","1","0","0","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","1930","7252","0","0","1","1","1929","5","0","2","2","8",""
"","","Galgamuwa","","","516","1849","","","","","","","","","","",""
"","","","Drought","2018","","","","","","","","","","","","",""
"","","Ambanpola","","","1687","5243","","","","","","","","","","",""
"","","Maaspotha","","2018.06.09/11","126","380","","","","5","121","","","","","",""
"","","Udubaddawa","","2018.06.10","103","377","","1","","","103","23","1","","","",""
"","","Wariyapola","","2018.06.11","105","372","","","","4","101","","","","","",""
"","","Ganewattha","","2018.06.11","7","24","","","","","7","","","","","",""
"වයඹ","","Alauwa","","2018.06.11","14","47","","","","1","13","","","","","",""
"","","කුරුණෑගල","","","","","","","","","","","","","","",""
"පලාත/tlNk","12","FUdhfy; 
Kobaigane","","","3","15","","","","","3","","","","","",""
"y;","","Kurunegala","දැඩි සුලග/fLk;","","","","","","","","","","","","","",""
"","","Rasnayakapura","","","2","9","","","","","2","","","","","",""
"khfhzk;/","","","fhw;W/High Wind","2018.06.10","","","","","","","","","","","","",""
"","","Nikaweratiya","","","1","4","","","","","1","","","","","",""
"North","","","","","","","","","","","","","","","","",""
"Western/","","","Paduwasnuwara west","","4","12","","","","","3","2","","","","",""
"","","Ibbagamuwa","","2018.06.09","4","15","","","","","4","","","","","",""
"","","Wirambugedara","","2018.06.05","1","1","","","","","1","","","","","",""
"","","Mallawapitiya","","2018.05.26","3","12","","","","","3","","","","","",""
"","","Kurunagala","","2018.06.09","4","16","","","","","4","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","2580","8376","0","1","0","10","366","25","1","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","2580","8376","0","1","0","10","366","25","1","0","0","0",""
"උතුරුමැද","","නපොනලොන් රුව","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","207 - Manampitiya GN"
"පලාත/tlkj;","13","Dimbulagala
nghyd;dWit","Drought","2018.06.01","30","120","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Divition"
"jpa","","Polonnaruwa","","","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","","","",""
