"","Weather Forecast for Main Cities","","","","16-May-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","65","Mainly fair"
"Batticaloa","35","27","90","50","Mainly fair"
"Colombo","32","27","90","80","A few showers"
"Galle","30","28","90","80","A few showers"
"Jaffna","32","24","85","75","Mainly fair"
"Kandy","30","23","90","75","Mainly fair"
"Nuwara-Eliya","23","16","95","75","Mainly fair"
"Ratnapura","32","25","95","80","A few showers"
"Trincomalee","35","26","85","55","Mainly fair"
"Mannar","33","29","85","80","Mainly fair"
