"","","","","","","","Page 1","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","තත්ත්ව වාර්තාව  - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/   Situation Report- Sri Lanka                                                                    දිනය /jpfjp","","","","","","","","","","","",""
"","/ Date : 22nd January 2021 at 1800hrs","","","","","","","","","","","",""
"","","","","","","","","","","නිවාස්ත්‍ හානි","","",""
"","","","","","බලපෑමට ලක්වු","","","","","","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","","","","","","Nrjkile;j","ලවනත් හානි பிற பாதிப்புகள்","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","","","","","ghjpf;fg;gl;l","","","","","","","",""
"","","Administrative purview","","","","","","","","tPLfs; Houses","Other Damages","miktplk; Safe Location",""
"","","","","","Affected","","","","","","","",""
"","","","","","","","","තුවාලවු","අතුරුදහ","Damaged","","",""
"","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","",""
"","","","","","","","මිය යෑම්","","","","","",""
"පළාත","","","ආපදාව","mdu;j;jk;","","","","fhakil","පුද්ගලයින්","","කුඩා හා මධය පරිමාණ","",""
"","","","","","","","kuzq;f","","","","ඉතා වැදගත් යටිතල","ආරක්ිත","ලවනත් කරුණු                 NtW"
"khfhzk;","#","","mdHj;jk","Muk;gpj;j","","","","e;NjhH","fhzhky;","","වයාපාරික ස්ත්‍රථාන","",""
"","","","","","","","s;","","","","","","Fwpg;Gf;fs; Remarks"
"Province","","","Disaster","jpfjp    Date","","","","","NghNdhH","","පහසුකම් වලට වූ 
சிறிய,","ස්ත්‍
රථාන  
පවුේ",""
"","","","","","පවුේ","","Deaths","","","පූර්ණ 
අර්ධ හානි","","",""
"","","දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","","of commenced","","පුද්ගලයින්","","Injured","Missing","","நடுத்தர, 
හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","","","","","ස්ත්‍ංඛ්‍යාව","","","","","හානි 
gFjpas","","",""
"","","மாவட்டம்  
gpuNjr nra.gp     DS","","","","egHfs;","","People","","","நிறுவனங் களின்
fl;likg;Gf;fs;","vz;zpf;if
egHfs; 
FLk;gq;f",""
"","","","","","","","","","People","T","","",""
"","","","","","FLk;gq;fs;","","","","","KOik","சேதங் கள்","",""
"","","District
Division","","","","People","","","","","Damages to","s; 
Persons
   No. of",""
"","","","","","Families","","","","","Partially
Fully","Small, Medium,","",""
"","","","","","","","","","","","critical","Families
Safety",""
"","","","","","","","","","","","Enterprises","",""
"","","","","","","","","","","","Infrastructure","Locations",""
"","","","","","","","","","","","Damages","",""
"","","යාපනය","","","","","","","","","","",""
"","1","Kareinagar
aho;g;ghzk;","Flood","2021.01.11","158","560","","","","","","1
14","41 J/48 Gramaniladhari Office"
"","","Jaffna","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","158","560","0","0","0","0
0","0
0","1
14","41"
"","","මන්නාරම","","","","","","","","","","",""
"","2","Manthai West","Flood","2021.01.11/12","83","323","","","","","","1
8","30 Public building"
"","","kd;dhH Mannar","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","83","323","0","0","0","0
0","0
0","1
8","30"
"උතුරු පලාත","","","","","","","","","","","","",""
"tl khfhzk","","කිලිගනාච්චිය 
Poonakary","","","94","284","","","","3","","",""
"Northen","3","fpspnehr;rp","Flood","2021.01.11","","","","","","","","",""
"","","Pachchilaipalai
Killinochchi","","","212","666","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","306","950","0","0","0","0
3","0
0","0
0","0"
"","","මුලතිව්","","","","","","","","","","",""
"","","","","","","","","","","","","","Kalampawewa Welfare"
"","4","Welioya
Ky;iyj;jPT","Flood","2021.01.12","55","152","","","","","1","1
20","43"
"","","","","","","","","","","","","","Centre"
"","","Mulaitivu","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","55","152","0","0","0","0
0","1
0","1
20","43"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","602","1985","0","0","0","0
3","1
0","3
42
114",""
"","","Harispattuwa","Heavy Rain","2021.01.11","1","5","","","","1","","",""
"","","Udapalatha","Heavy Rain","2021.01.12","1","4","","","","1","","",""
"","","Medadumbara","Heavy Rain","2021.01.13","1","5","","","","","1","",""
"","","මහනුවර","","","","","","","","","","",""
"","5","fz;b       
Pasbage Korale","Cutting Failure","2021.01.13-14","2","6","","","","2","","",""
"","","Kandy","","","","","","","","","","",""
"","","Deltota","High Wind","2021.01.11","2","9","","","","2","","",""
"","","Pathadumbara","Heavy Rain","2021.01.15","1","7","","","","1","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","",""
"","","Thumpane","Heavy Rain","2021.01.13","1","4","","","","1","","",""
"kj;jpa khfhzk","","","","","","","","","","","","",""
"Central","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","9","40","0","0","0","0
8","1
0","0
0","0"
"","","","","","","","","","","","","","Konkodia GN Wetherset"
"","","නුවරඑලිය  
Nuwara Eliya","Land slide Risk","2020.12.21","3","14","","","","","","1
3","14"
"","6","","","","","","","","","","","","Hospitle"
"","","Etnuypah","","","","","","","","","","",""
"","","Nuwara Eliya","","","","","","","","","","",""
"","","Walapane","Gas Leak","2021.01.10","1","3","","3","","1","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","17","0","3","0","0
1","0
0","1
3","14"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","13","57","0","3","0","0
9","1
0","1
3","14"
"","","Kuchchaveli","","2021.01.15","5","18","","","","","","",""
"","","","","2021.01.18","4","16","","","","4","","",""
"","","Kanthale","","","","","","","","","","",""
"","","ත්‍රීකුණාමලය","","","","","","","","","","",""
"","7","jp.kiy","Heavy Rain","2021.01.14","1","3","","","","1","","",""
"","","Thamplakamam","","","","","","","","","","",""
"","","Trincomalee","","","","","","","","","","",""
"","","","","2021.01.19","1","2","","","","1","","",""
"","","Seruwila","","","","","","","","","","",""
"","","","","2021.01.19","3","6","","","","3","","",""
