"Western","","","","","","","","","","","","",""
"Jayawardhanapura
Flood","","42","175","","","","","","","","1","42","175"
"","2022.05.31","","","","","","","","","","","",""
"Moratuwa
High wind","","14","54","","","","","14","3","","","",""
"Kolonnawa","","1628","6039","","","","","","","","4","66","204"
"වකාළඹ","","","","","","","","","","","","",""
"6","","","","","","","","","","","","",""
"nfhOk;G Colombo","","","","","","","","","","","","",""
"Flood
Seethawaka","2022.06.01","93","353","","","","","3","","","2","65","254"
"Homagama","","12","40","","","","","","","","","",""
"Kaduwela
Flood","2022.05.31","100","362","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1889","7023","0","0","0","0","17","3","0","7","173","633"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","4379","18620","0","0","0","0","45","3","0","7","173","633"
"Weligama
Cutting Failure","","","","","1","","","","","","","",""
"මාතර","","","","","","","","","","","","",""
"Akuressa","","7","41","","","","","7","","","","",""
"7
khj;jiw      
දකුනු පලාත","2022.05.31","","","","","","","","","","","",""
"Heavy Rain
Matara
Kamburupitiya","","7","35","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","",""
"Matara
Southern","","3","13","","","","","3","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","17","89","0","1","0","0","10","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","17","89","0","1","0","0","10","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","5357","22338","1","1","0","0","174","3","0","10","192","690"
