"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","48","172","0","0","0","0
13","0","0","0
0","0",""
"","","","Mahara","Flood","2022.05.31","20","95","","","","","","","","",""
"","","","Gampaha","Tree Falen","2022.05.30/31","49","216","","","","","","","","",""
"","","","Meerigama","Heavy Rain","2022.05.30","1","4","","","","1","","","","",""
"","","","Ja Ela","Land Slide","2022.06.01","10","56","","","","2","","","","",""
"","","ගම්පහ","","","","","","","","","","","","","",""
"","5","","Minuwangoda","Heavy Rain","2022.05.29","2","5","","","","2","","","","",""
"","","fk;g`h Gampaha","","","","","","","","","","","","","",""
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","","","",""
"","","","Dompe","Tree Falen","2022.05.31","24","98","","","","1","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","","",""
"","","","Attanagalla","Heavy Rain","2022.05.31/06.01","82","326","","","","3","","","","",""
"Western","","","","","","","","","","","","","","","",""
"","","","Biyagama","Flood","2022.06.01","596","2426","","","","2","","","","",""
"","","","Kelaniya","Flood","2022.06.01","1658","8199","","","","4","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","2442","11425","0","0","0","0
15","0","0","0
0","0",""
